ISO_A3,ghsl_year,flood_type,return_period,ftm3_ghsl_total_built_s_km2,ghsl_total_built_s_km2,relative_exposure_pct
CPV,1975,FLUVIAL_PLUVIAL_DEFENDED,1in100,,8.993805333,
CPV,1975,FLUVIAL_PLUVIAL_DEFENDED,1in5,0.004073223,8.993805333,0.045289206
CPV,1980,FLUVIAL_PLUVIAL_DEFENDED,1in10,0.072996336,10.17289333,0.717557273
CPV,1980,FLUVIAL_PLUVIAL_DEFENDED,1in100,,10.17289333,
CPV,1980,FLUVIAL_PLUVIAL_DEFENDED,1in5,0.004655334,10.17289333,0.045762143
CPV,1985,FLUVIAL_PLUVIAL_DEFENDED,1in10,0.084983352,11.77340622,0.721824682
CPV,1985,FLUVIAL_PLUVIAL_DEFENDED,1in100,,11.77340622,
CPV,1985,FLUVIAL_PLUVIAL_DEFENDED,1in5,0.005436665,11.77340622,0.046177503
CPV,1990,FLUVIAL_PLUVIAL_DEFENDED,1in10,0.097818695,13.64847644,0.716700472
CPV,1990,FLUVIAL_PLUVIAL_DEFENDED,1in100,,13.64847644,
CPV,1990,FLUVIAL_PLUVIAL_DEFENDED,1in5,0.006329443,13.64847644,0.046374722
CPV,1995,FLUVIAL_PLUVIAL_DEFENDED,1in10,0.102878539,14.81499733,0.694421583
CPV,1995,FLUVIAL_PLUVIAL_DEFENDED,1in100,,14.81499733,
CPV,1995,FLUVIAL_PLUVIAL_DEFENDED,1in5,0.006642888,14.81499733,0.044838942
CPV,2000,FLUVIAL_PLUVIAL_DEFENDED,1in10,0.113185188,17.14008889,0.660353565
CPV,2000,FLUVIAL_PLUVIAL_DEFENDED,1in100,,17.14008889,
CPV,2000,FLUVIAL_PLUVIAL_DEFENDED,1in5,0.00727811,17.14008889,0.042462499
CPV,2005,FLUVIAL_PLUVIAL_DEFENDED,1in10,0.118234969,18.06553956,0.654477928
CPV,2005,FLUVIAL_PLUVIAL_DEFENDED,1in100,,18.06553956,
CPV,2005,FLUVIAL_PLUVIAL_DEFENDED,1in5,0.007922668,18.06553956,0.043855142
CPV,2010,FLUVIAL_PLUVIAL_DEFENDED,1in10,0.125779945,19.50016889,0.645019772
CPV,2010,FLUVIAL_PLUVIAL_DEFENDED,1in100,,19.50016889,
CPV,2010,FLUVIAL_PLUVIAL_DEFENDED,1in5,0.008795223,19.50016889,0.045103317
CPV,2015,FLUVIAL_PLUVIAL_DEFENDED,1in10,0.136590672,21.35565156,0.639599647
CPV,2015,FLUVIAL_PLUVIAL_DEFENDED,1in100,,21.35565156,
CPV,2015,FLUVIAL_PLUVIAL_DEFENDED,1in5,0.010025114,21.35565156,0.046943611
CPV,2020,FLUVIAL_PLUVIAL_DEFENDED,1in10,0.153060922,23.49745956,0.65139349
CPV,2020,FLUVIAL_PLUVIAL_DEFENDED,1in100,,23.49745956,
CPV,2020,FLUVIAL_PLUVIAL_DEFENDED,1in5,0.011953002,23.49745956,0.050869337
CMR,1975,FLUVIAL_PLUVIAL_DEFENDED,1in10,2.832372,387.7006507,0.730556422
CMR,1975,FLUVIAL_PLUVIAL_DEFENDED,1in100,17.84274,387.7006507,4.60219501
CMR,1975,FLUVIAL_PLUVIAL_DEFENDED,1in5,1.45420025,387.7006507,0.375083263
CMR,1980,FLUVIAL_PLUVIAL_DEFENDED,1in10,3.67145575,462.6881138,0.793505526
CMR,1980,FLUVIAL_PLUVIAL_DEFENDED,1in100,21.88761,462.6881138,4.730532155
CMR,1980,FLUVIAL_PLUVIAL_DEFENDED,1in5,1.88393775,462.6881138,0.407172282
CMR,1985,FLUVIAL_PLUVIAL_DEFENDED,1in10,4.8715055,566.2192071,0.860356809
CMR,1985,FLUVIAL_PLUVIAL_DEFENDED,1in100,27.414178,566.2192071,4.841619227
CMR,1985,FLUVIAL_PLUVIAL_DEFENDED,1in5,2.50948425,566.2192071,0.443200128
CMR,1990,FLUVIAL_PLUVIAL_DEFENDED,1in10,6.346727,690.7394276,0.918830857
CMR,1990,FLUVIAL_PLUVIAL_DEFENDED,1in100,34.107364,690.7394276,4.937804711
CMR,1990,FLUVIAL_PLUVIAL_DEFENDED,1in5,3.2683815,690.7394276,0.473171412
CMR,1995,FLUVIAL_PLUVIAL_DEFENDED,1in10,6.888709,742.7595947,0.927447999
CMR,1995,FLUVIAL_PLUVIAL_DEFENDED,1in100,37.0505,742.7595947,4.988222335
CMR,1995,FLUVIAL_PLUVIAL_DEFENDED,1in5,3.5559695,742.7595947,0.478751069
CMR,2000,FLUVIAL_PLUVIAL_DEFENDED,1in10,7.6024465,809.1010276,0.939616468
CMR,2000,FLUVIAL_PLUVIAL_DEFENDED,1in100,40.689836,809.1010276,5.029017961
CMR,2000,FLUVIAL_PLUVIAL_DEFENDED,1in5,3.9376455,809.1010276,0.4866692
CMR,2005,FLUVIAL_PLUVIAL_DEFENDED,1in10,8.455944,873.4390044,0.968120723
CMR,2005,FLUVIAL_PLUVIAL_DEFENDED,1in100,45.006772,873.4390044,5.152823697
CMR,2005,FLUVIAL_PLUVIAL_DEFENDED,1in5,4.337292,873.4390044,0.496576404
CMR,2010,FLUVIAL_PLUVIAL_DEFENDED,1in10,9.657487,960.7236267,1.005230509
CMR,2010,FLUVIAL_PLUVIAL_DEFENDED,1in100,50.898296,960.7236267,5.297912385
CMR,2010,FLUVIAL_PLUVIAL_DEFENDED,1in5,4.905818,960.7236267,0.510637801
CMR,2015,FLUVIAL_PLUVIAL_DEFENDED,1in10,11.225773,1072.766066,1.046432522
CMR,2015,FLUVIAL_PLUVIAL_DEFENDED,1in100,57.986744,1072.766066,5.405348457
CMR,2015,FLUVIAL_PLUVIAL_DEFENDED,1in5,5.6830555,1072.766066,0.529757202
CMR,2020,FLUVIAL_PLUVIAL_DEFENDED,1in10,13.477319,1226.951566,1.098439366
CMR,2020,FLUVIAL_PLUVIAL_DEFENDED,1in100,65.950616,1226.951566,5.375160506
CMR,2020,FLUVIAL_PLUVIAL_DEFENDED,1in5,6.919668,1226.951566,0.563972384
CAF,1975,FLUVIAL_PLUVIAL_DEFENDED,1in10,0.5985321,70.329865,0.851035474
CAF,1975,FLUVIAL_PLUVIAL_DEFENDED,1in100,5.138816,70.329865,7.306733775
CAF,1975,FLUVIAL_PLUVIAL_DEFENDED,1in5,0.38747594,70.329865,0.550940827
CAF,1980,FLUVIAL_PLUVIAL_DEFENDED,1in10,0.8144958,84.37257,0.965356158
CAF,1980,FLUVIAL_PLUVIAL_DEFENDED,1in100,5.888485,84.37257,6.979146185
CAF,1980,FLUVIAL_PLUVIAL_DEFENDED,1in5,0.53889143,84.37257,0.638704534
CAF,1985,FLUVIAL_PLUVIAL_DEFENDED,1in10,1.1079696,104.10762,1.064254086
CAF,1985,FLUVIAL_PLUVIAL_DEFENDED,1in100,6.8882146,104.10762,6.61643653
CAF,1985,FLUVIAL_PLUVIAL_DEFENDED,1in5,0.74438375,104.10762,0.715013704
CAF,1990,FLUVIAL_PLUVIAL_DEFENDED,1in10,1.4634097,128.80357,1.136156164
CAF,1990,FLUVIAL_PLUVIAL_DEFENDED,1in100,8.106341,128.80357,6.293568571
CAF,1990,FLUVIAL_PLUVIAL_DEFENDED,1in5,0.99535036,128.80357,0.772766128
CAF,1995,FLUVIAL_PLUVIAL_DEFENDED,1in10,1.6241156,140.3129,1.157495569
CAF,1995,FLUVIAL_PLUVIAL_DEFENDED,1in100,8.724592,140.3129,6.217954301
CAF,1995,FLUVIAL_PLUVIAL_DEFENDED,1in5,1.1036062,140.3129,0.786532243
CAF,2000,FLUVIAL_PLUVIAL_DEFENDED,1in10,1.8547131,155.83856,1.190150307
CAF,2000,FLUVIAL_PLUVIAL_DEFENDED,1in100,9.5808,155.83856,6.147900751
CAF,2000,FLUVIAL_PLUVIAL_DEFENDED,1in5,1.2641733,155.83856,0.811206995
CAF,2005,FLUVIAL_PLUVIAL_DEFENDED,1in10,1.9874831,165.24199,1.202771221
CAF,2005,FLUVIAL_PLUVIAL_DEFENDED,1in100,10.091285,165.24199,6.106973778
CAF,2005,FLUVIAL_PLUVIAL_DEFENDED,1in5,1.3535872,165.24199,0.819154502
CAF,2010,FLUVIAL_PLUVIAL_DEFENDED,1in10,2.175233,177.33507,1.226623138
CAF,2010,FLUVIAL_PLUVIAL_DEFENDED,1in100,10.789235,177.33507,6.084095492
CAF,2010,FLUVIAL_PLUVIAL_DEFENDED,1in5,1.4774532,177.33507,0.833142142
CAF,2015,FLUVIAL_PLUVIAL_DEFENDED,1in10,2.3947906,191.01425,1.253723531
CAF,2015,FLUVIAL_PLUVIAL_DEFENDED,1in100,11.600991,191.01425,6.07336416
CAF,2015,FLUVIAL_PLUVIAL_DEFENDED,1in5,1.6222917,191.01425,0.849304018
CAF,2020,FLUVIAL_PLUVIAL_DEFENDED,1in10,2.5729294,204.45189,1.258452245
CAF,2020,FLUVIAL_PLUVIAL_DEFENDED,1in100,12.403703,204.45189,6.066807697
CAF,2020,FLUVIAL_PLUVIAL_DEFENDED,1in5,1.7477584,204.45189,0.854850694
TCD,1975,FLUVIAL_PLUVIAL_DEFENDED,1in10,1.0339887,161.90596,0.638635354
TCD,1975,FLUVIAL_PLUVIAL_DEFENDED,1in100,14.230425,161.90596,8.789315106
TCD,1975,FLUVIAL_PLUVIAL_DEFENDED,1in5,0.39913985,161.90596,0.24652573
TCD,1980,FLUVIAL_PLUVIAL_DEFENDED,1in10,1.2244215,181.93636,0.672994392
TCD,1980,FLUVIAL_PLUVIAL_DEFENDED,1in100,16.512678,181.93636,9.076073634
TCD,1980,FLUVIAL_PLUVIAL_DEFENDED,1in5,0.46982262,181.93636,0.258234594
TCD,1985,FLUVIAL_PLUVIAL_DEFENDED,1in10,1.4773163,209.61748,0.704767704
TCD,1985,FLUVIAL_PLUVIAL_DEFENDED,1in100,19.543842,209.61748,9.323574542
TCD,1985,FLUVIAL_PLUVIAL_DEFENDED,1in5,0.565322,209.61748,0.269692203
TCD,1990,FLUVIAL_PLUVIAL_DEFENDED,1in10,1.7751157,241.75575,0.734259971
TCD,1990,FLUVIAL_PLUVIAL_DEFENDED,1in100,23.058374,241.75575,9.537880278
TCD,1990,FLUVIAL_PLUVIAL_DEFENDED,1in5,0.6719112,241.75575,0.27792977
TCD,1995,FLUVIAL_PLUVIAL_DEFENDED,1in10,1.86532,263.07758,0.709037996
TCD,1995,FLUVIAL_PLUVIAL_DEFENDED,1in100,24.462643,263.07758,9.298642248
TCD,1995,FLUVIAL_PLUVIAL_DEFENDED,1in5,0.71651936,263.07758,0.27236048
TCD,2000,FLUVIAL_PLUVIAL_DEFENDED,1in10,2.0058093,294.09412,0.682029719
TCD,2000,FLUVIAL_PLUVIAL_DEFENDED,1in100,26.402433,294.09412,8.977545352
TCD,2000,FLUVIAL_PLUVIAL_DEFENDED,1in5,0.787075,294.09412,0.267626908
