Country Code,Year,Indicator,Value
BDI,2016,Limited (more than 30 mins),0.07723186382011761
BDI,2016,Surface water,0.007362629513385173
BDI,2016,Unimproved,0.02808555448619586
BDI,2017,At least basic,0.8912513131378088
BDI,2017,Limited (more than 30 mins),0.07804106823502963
BDI,2017,Surface water,0.0030710489038631287
BDI,2017,Unimproved,0.02763656972329841
BDI,2018,At least basic,0.8951784717062374
BDI,2018,Limited (more than 30 mins),0.07885447503902171
BDI,2018,Surface water,0.0
BDI,2018,Unimproved,0.0259670532547409
BDI,2019,At least basic,0.8991014278855853
BDI,2019,Limited (more than 30 mins),0.07967208423209442
BDI,2019,Surface water,0.0
BDI,2019,Unimproved,0.02122648788232027
BDI,2020,At least basic,0.9034561116224853
BDI,2020,Limited (more than 30 mins),0.08005796586761392
BDI,2020,Surface water,0.0
BDI,2020,Unimproved,0.01648592250990077
BDI,2021,At least basic,0.9078107953593864
BDI,2021,Limited (more than 30 mins),0.08044384750313355
BDI,2021,Surface water,0.0
BDI,2021,Unimproved,0.01174535713748014
BDI,2022,At least basic,0.9121654790962863
BDI,2022,Limited (more than 30 mins),0.08082972913865305
BDI,2022,Surface water,0.0
BDI,2022,Unimproved,0.007004791765060645
BDI,2023,At least basic,0.9121654790962863
BDI,2023,Limited (more than 30 mins),0.08082972913865305
BDI,2023,Surface water,0.0
BDI,2023,Unimproved,0.007004791765060645
BDI,2024,At least basic,0.9121654790962863
BDI,2024,Limited (more than 30 mins),0.08082972913865305
BDI,2024,Surface water,0.0
BDI,2024,Unimproved,0.007004791765060645
BEN,2000,At least basic,0.7620786664793202
BEN,2000,Limited (more than 30 mins),0.03735048287210304
BEN,2000,Surface water,0.0499269115827218
BEN,2000,Unimproved,0.1506439390658549
BEN,2001,At least basic,0.761960839692887
BEN,2001,Limited (more than 30 mins),0.0380636495864816
BEN,2001,Surface water,0.04819829575439314
BEN,2001,Unimproved,0.1517772149662383
BEN,2002,At least basic,0.7618419928947857
BEN,2002,Limited (more than 30 mins),0.03877783631252797
BEN,2002,Surface water,0.04646967992606449
BEN,2002,Unimproved,0.1529104908666218
BEN,2003,At least basic,0.7617221260850165
BEN,2003,Limited (more than 30 mins),0.03949304305024228
BEN,2003,Surface water,0.04474106409773526
BEN,2003,Unimproved,0.1540437667670059
BEN,2004,At least basic,0.7616012392635791
BEN,2004,Limited (more than 30 mins),0.040209269799624824
BEN,2004,Surface water,0.043012448269406596
BEN,2004,Unimproved,0.1551770426673895
BEN,2005,At least basic,0.761479332430474
BEN,2005,Limited (more than 30 mins),0.04092651656067502
BEN,2005,Surface water,0.041283832441077944
BEN,2005,Unimproved,0.156310318567773
BEN,2006,At least basic,0.7613564055857011
BEN,2006,Limited (more than 30 mins),0.04164478333339318
BEN,2006,Surface water,0.03955521661274929
BEN,2006,Unimproved,0.1574435944681565
BEN,2007,At least basic,0.76123245872926
BEN,2007,Limited (more than 30 mins),0.042364070117779276
BEN,2007,Surface water,0.03782660078442063
BEN,2007,Unimproved,0.15857687036853998
BEN,2008,At least basic,0.761107491861151
BEN,2008,Limited (more than 30 mins),0.04308437691383347
BEN,2008,Surface water,0.03609798495609198
BEN,2008,Unimproved,0.1597101462689236
BEN,2009,At least basic,0.7609815049813743
BEN,2009,Limited (more than 30 mins),0.04380570372155546
BEN,2009,Surface water,0.03436936912776332
BEN,2009,Unimproved,0.1608434221693069
BEN,2010,At least basic,0.7608544980899294
BEN,2010,Limited (more than 30 mins),0.0445280505409454
BEN,2010,Surface water,0.03264075329943466
BEN,2010,Unimproved,0.1619766980696905
BEN,2011,At least basic,0.7607264711868167
BEN,2011,Limited (more than 30 mins),0.04525141737200329
BEN,2011,Surface water,0.03091213747110544
BEN,2011,Unimproved,0.1631099739700745
BEN,2012,At least basic,0.7605974242720359
BEN,2012,Limited (more than 30 mins),0.045975804214729264
BEN,2012,Surface water,0.02918352164277678
BEN,2012,Unimproved,0.1642432498704581
BEN,2013,At least basic,0.7604673573455872
BEN,2013,Limited (more than 30 mins),0.04670121106912305
BEN,2013,Surface water,0.02745490581444813
BEN,2013,Unimproved,0.1653765257708416
BEN,2014,At least basic,0.7603362704074706
BEN,2014,Limited (more than 30 mins),0.04742763793518478
BEN,2014,Surface water,0.025726289986119467
BEN,2014,Unimproved,0.1665098016712251
BEN,2015,At least basic,0.7602041634576859
BEN,2015,Limited (more than 30 mins),0.048155084812914584
BEN,2015,Surface water,0.023997674157790812
BEN,2015,Unimproved,0.1676430775716086
BEN,2016,At least basic,0.7600710364962334
BEN,2016,Limited (more than 30 mins),0.04888355170231222
BEN,2016,Surface water,0.02226905832946215
BEN,2016,Unimproved,0.1687763534719922
BEN,2017,At least basic,0.759936889523113
BEN,2017,Limited (more than 30 mins),0.04961303860337779
BEN,2017,Surface water,0.0205404425011335
BEN,2017,Unimproved,0.1699096293723757
BEN,2018,At least basic,0.7598017225383249
BEN,2018,Limited (more than 30 mins),0.050343545516111164
BEN,2018,Surface water,0.01881182667280484
BEN,2018,Unimproved,0.17104290527275912
BEN,2019,At least basic,0.7596655355418686
BEN,2019,Limited (more than 30 mins),0.051075072440512626
BEN,2019,Surface water,0.01708321084447562
BEN,2019,Unimproved,0.1721761811731432
BEN,2020,At least basic,0.7595283285337441
BEN,2020,Limited (more than 30 mins),0.05180761937658232
BEN,2020,Surface water,0.01535459501614696
BEN,2020,Unimproved,0.17330945707352668
BEN,2021,At least basic,0.7593901015139518
BEN,2021,Limited (more than 30 mins),0.05254118632431968
BEN,2021,Surface water,0.0136259791878183
BEN,2021,Unimproved,0.17444273297391022
BEN,2022,At least basic,0.7592508544824916
BEN,2022,Limited (more than 30 mins),0.053275773283724986
BEN,2022,Surface water,0.01189736335948965
BEN,2022,Unimproved,0.1755760088742937
