ISO3,year,population,built_up_km2,built_up_per_capita_m2
MRT,1985,678483.4559461805,27.71789188888889,40.852715929874584
MRT,1990,845814.5470920139,31.658436888888893,37.42952518106178
MRT,1995,982149.9544270834,37.46523988888889,38.14615041217759
MRT,2000,1109239.2860243055,47.30989533333334,42.650757081368546
MRT,2005,1311231.5720486112,57.03608222222222,43.49810013582233
MRT,2010,1556889.6241319445,71.37486322222223,45.844523668155226
MRT,2015,1852441.9674479167,88.50414666666666,47.777014460861935
MRT,2020,2153259.1336805555,101.36490488888889,47.07510735859569
MUS,1975,697095.2521701389,22.29898877777778,31.98843875117271
MUS,1980,751218.7304687501,26.555138111111113,35.34940894583536
MUS,1985,805649.6493055555,32.25394377777778,40.03470218795435
MUS,1990,854385.2126736111,38.83537144444445,45.454170868568376
MUS,1995,903344.1414930555,39.08534477777778,43.26739166446263
MUS,2000,943156.0034722222,39.35748788888889,41.72956302456282
MUS,2005,967833.3871527778,43.32566477777777,44.76562324971599
MUS,2010,980215.1788194445,47.98650255555555,48.95506985858935
MUS,2015,982259.8854166667,52.471616222222224,53.41928037707066
MUS,2020,982257.2005208334,53.847232222222225,54.81989054767956
MWI,1975,1443397.8640407987,101.8752771111111,70.58017726720948
MWI,1980,1804060.2068142362,121.57237111111111,67.38820059990903
MWI,1985,2233166.029730903,150.11483155555555,67.22063185496532
MWI,1990,2789239.910698785,184.49381033333333,66.14483380424322
MWI,1995,3040766.6983506945,194.76247311111112,64.05044925569261
MWI,2000,3419207.4050564235,207.56338844444443,60.70511784031985
MWI,2005,3881486.334201389,227.38337711111112,58.58152200808791
MWI,2010,4447904.440755208,253.74614422222223,57.04847026325475
MWI,2015,5078941.349392361,284.5745103333333,56.03028087091013
MWI,2020,5702347.768880209,313.40730822222224,54.961100396682255
NAM,1975,261073.8548177083,27.641209666666665,105.87505855753656
NAM,1980,293920.5251736111,33.362831444444446,113.50970274953714
NAM,1985,335623.59917534725,41.28757344444444,123.01749205327384
NAM,1990,412505.07703993056,49.950987888888896,121.09181357797843
NAM,1995,499575.15190972225,57.82457444444445,115.74749909678029
NAM,2000,600792.2608506944,66.94853555555555,111.43375159453534
NAM,2005,690037.751736111,71.18879488888889,103.16652199068871
NAM,2010,783232.1549479167,76.49065,97.66025247659357
NAM,2015,891833.5403645833,82.70549322222222,92.73646872308935
NAM,2020,967290.9813368056,89.59376944444445,92.62338962431447
NER,1975,1831796.7445976883,51.32587655555556,28.019416841374557
NER,1980,2173115.5485597798,58.666112999999996,26.996315515242912
NER,1985,2582865.128704437,69.47416855555556,26.89810156305132
NER,1990,3048409.3745185304,81.63908466666668,26.7808796774747
NER,1995,3667759.384019049,91.50065544444445,24.947289574972086
NER,2000,4408626.960110094,103.49042822222222,23.4745260051755
NER,2005,5176617.810158189,115.92494033333334,22.393953848756485
NER,2010,6059219.250758617,132.37746422222224,21.84728077064525
NER,2015,6983571.853139235,152.27213566666666,21.80433435337502
NER,2020,7633325.360776908,177.2437558888889,23.219730263253094
NGA,1975,43091590.22467889,1718.3752747777778,39.87727688438035
NGA,1980,49379884.94571262,1931.2163716666666,39.10937366074895
NGA,1985,55871435.04979113,2217.185433888889,39.68370298548789
NGA,1990,62915477.6658393,2552.0097713333334,40.56251126134225
NGA,1995,71666432.50343153,2749.167228,38.36059828802507
NGA,2000,81178146.16582574,2983.9062815555553,36.75750706920819
NGA,2005,92437095.80268012,3424.2129002222223,37.0437092434371
NGA,2010,105096505.17529297,4040.0039195555555,38.44089689583052
NGA,2015,118792438.38764106,4698.991009555555,39.556314133580656
NGA,2020,131524162.79416233,4978.706378888889,37.85392944626193
RWA,1975,1834632.7398003472,67.03315988888889,36.53764507450343
RWA,1980,2189633.181315104,79.75389911111111,36.42340634571976
RWA,1985,2675088.925130208,99.8668291111111,37.33215302599713
RWA,1990,3187833.0262586805,125.91943966666666,39.500011019852195
RWA,1995,2603349.2981770835,141.40532922222224,54.31669477516407
RWA,2000,3781149.8561197915,162.5274991111111,42.983617496159354
RWA,2005,4321066.372395833,187.06058633333333,43.29037561846494
RWA,2010,4958518.043836805,221.62729222222222,44.69627623876333
