Year,ISO3,population
2090,ISL,382957.0
2091,ISL,380931.0
2092,ISL,378822.0
2093,ISL,376696.0
2094,ISL,374711.0
2095,ISL,372786.0
2096,ISL,370869.0
2097,ISL,368955.0
2098,ISL,367111.0
2099,ISL,365290.0
2100,ISL,363492.0
2101,ISL,361673.0
1950,ISR,1257967.0
1951,ISR,1320504.0
1952,ISR,1383101.0
1953,ISR,1445332.0
1954,ISR,1507319.0
1955,ISR,1568752.0
1956,ISR,1630242.0
1957,ISR,1691023.0
1958,ISR,1750039.0
1959,ISR,1807973.0
1960,ISR,1864707.0
1961,ISR,1919162.0
1962,ISR,1994607.0
1963,ISR,2087315.0
1964,ISR,2182767.0
1965,ISR,2280943.0
1966,ISR,2381959.0
1967,ISR,2485711.0
1968,ISR,2591603.0
1969,ISR,2699337.0
1970,ISR,2808977.0
1971,ISR,2920578.0
1972,ISR,3034022.0
1973,ISR,3124780.0
1974,ISR,3201309.0
1975,ISR,3278653.0
1976,ISR,3357525.0
1977,ISR,3439009.0
1978,ISR,3520227.0
1979,ISR,3600564.0
1980,ISR,3681184.0
1981,ISR,3762146.0
1982,ISR,3842329.0
1983,ISR,3924935.0
1984,ISR,3994324.0
1985,ISR,4073146.0
1986,ISR,4137572.0
1987,ISR,4200369.0
1988,ISR,4273370.0
1989,ISR,4341270.0
1990,ISR,4421750.0
1991,ISR,4668248.0
1992,ISR,4891531.0
1993,ISR,5022945.0
1994,ISR,5149145.0
1995,ISR,5284254.0
1996,ISR,5425223.0
1997,ISR,5573880.0
1998,ISR,5719066.0
1999,ISR,5861214.0
2000,ISR,6030947.0
2001,ISR,6191434.0
2002,ISR,6328530.0
2003,ISR,6446909.0
2004,ISR,6558731.0
2005,ISR,6671444.0
2006,ISR,6784968.0
2007,ISR,6903095.0
2008,ISR,7021815.0
2009,ISR,7143426.0
2010,ISR,7268766.0
2011,ISR,7404704.0
2012,ISR,7537341.0
2013,ISR,7678220.0
2014,ISR,7820538.0
2015,ISR,7973820.0
2016,ISR,8131997.0
2017,ISR,8288013.999999999
2018,ISR,8435579.0
2019,ISR,8584554.0
2020,ISR,8730394.0
2021,ISR,8870358.0
2022,ISR,9015491.0
2023,ISR,9190811.0
2024,ISR,9321817.0
2025,ISR,9452225.0
2026,ISR,9582136.0
2027,ISR,9713242.0
2028,ISR,9844535.0
2029,ISR,9976821.0
2030,ISR,10107994.0
2031,ISR,10243915.0
2032,ISR,10381964.0
2033,ISR,10516151.0
2034,ISR,10650976.0
2035,ISR,10787829.0
2036,ISR,10928415.0
2037,ISR,11066342.0
2038,ISR,11211013.0
2039,ISR,11357806.0
2040,ISR,11507411.0
2041,ISR,11655537.0
2042,ISR,11805713.0
2043,ISR,11959310.0
2044,ISR,12112254.0
2045,ISR,12267267.0
2046,ISR,12416856.0
2047,ISR,12568444.0
2048,ISR,12716506.0
2049,ISR,12864581.0
2050,ISR,13016424.0
2051,ISR,13169020.0
2052,ISR,13319811.0
2053,ISR,13471781.0
2054,ISR,13624552.0
2055,ISR,13781773.0
2056,ISR,13935098.0
2057,ISR,14083762.0
2058,ISR,14231545.0
2059,ISR,14377034.0
2060,ISR,14520499.0
2061,ISR,14669042.0
2062,ISR,14810707.0
2063,ISR,14950617.0
2064,ISR,15095757.0
2065,ISR,15231294.0
2066,ISR,15371883.0
2067,ISR,15507967.0
2068,ISR,15646954.0
2069,ISR,15785446.0
2070,ISR,15928151.0
2071,ISR,16070524.0
2072,ISR,16208533.0
2073,ISR,16334372.0
2074,ISR,16465569.0
2075,ISR,16599794.999999998
2076,ISR,16736835.0
2077,ISR,16872592.0
2078,ISR,17017404.0
2079,ISR,17160708.0
2080,ISR,17301277.0
2081,ISR,17446040.0
2082,ISR,17582578.0
