Agglomeration_ID,Agglomeration_Name,ISO3,africapolis_pop_2015,africapolis_pop_2020
3890.0,Ido Ekiti,NGA,75067.0,51223.0
7067.0,Oleh,NGA,67915.0,51119.0
6763.0,Ningi,NGA,39185.0,50875.0
8704.0,Uduma,NGA,20500.0,50672.0
2365.0,Chanchaga,NGA,33571.0,50618.0
5290.0,Lissam,NGA,46950.0,49655.0
5562.0,Makarfi,NGA,22193.0,49547.0
2233.0,Buniyadi,NGA,46960.0,49502.0
4188.0,Jauro,NGA,30520.0,49456.0
3463.0,Gembu,NGA,26682.0,49412.0
3940.0,Igbokoda,NGA,54166.0,49395.0
7144.0,Opete/Otokutu,NGA,21431.0,49373.0
8701.0,Uburu,NGA,12600.0,49336.0
3966.0,Ijero Ekiti,NGA,58990.0,49195.0
7005.0,Ogwashi Uku,NGA,105064.0,49174.0
7250.0,Ozoro,NGA,89766.0,49167.0
1533.0,Bali,NGA,38088.0,49035.0
3245.0,Fili,NGA,76112.0,48794.0
5461.0,Mafa,NGA,10410.0,47989.0
9181.0,Zonkwa,NGA,34476.0,47809.0
8141.0,Soba,NGA,23989.0,47666.0
3681.0,Gwadainya,NGA,36067.0,47303.0
4110.0,Ishiagu,NGA,27301.0,47216.0
7041.0,Okopedi,NGA,23864.0,47061.0
1668.0,Barabarobara,NGA,25800.0,46593.0
1511.0,Bakori,NGA,24712.0,46580.0
7514.0,Rijau,NGA,35179.0,46379.0
2988.0,Ejule,NGA,57750.0,46000.0
6653.0,Okpogho,NGA,31000.0,45457.0
4219.0,Jogana,NGA,28815.0,45331.0
1823.0,Benisheikh,NGA,17092.0,45000.0
6074.0,Misau,NGA,44540.0,44907.0
1292.0,Arochukwu,NGA,48960.0,44603.0
6670.0,New Bussa,NGA,89985.0,44365.0
3999.0,Ikot Offiong,NGA,99900.0,43968.0
3343.0,Gamawa,NGA,23760.0,43527.0
7114.0,Orerokpe,NGA,77873.0,43506.0
4288.0,Kado,NGA,25420.0,43502.0
5820.0,Maya Belwa,NGA,55544.0,43500.0
4412.0,Kaiama 1,NGA,68293.0,43411.0
3137.0,Eruwa,NGA,83427.0,43077.0
7007.0,Ohafia,NGA,44415.0,43004.0
8780.0,Ungwan Shehu,NGA,19075.0,42913.0
2899.0,Dukku ,NGA,37434.0,42655.0
35.0,Abiriba,NGA,43965.0,42631.0
9025.0,Wurio,NGA,25416.0,42599.0
4103.0,Isanlu,NGA,88984.0,42488.0
7016.0,Oka Akoko,NGA,57525.0,42410.0
737.0,Alizaga,NGA,65862.0,42377.0
3688.0,Gwaram ,NGA,17755.0,42277.0
3952.0,Ihalav,NGA,28704.0,42143.0
9027.0,Wurno,NGA,25440.0,41954.0
7622.0,Sabuwa,NGA,17466.0,41809.0
1291.0,Aro,NGA,47845.0,41713.0
4172.0,Jaji ,NGA,49163.0,41668.0
1898.0,Billiri,NGA,66164.0,41484.0
3447.0,Gbongan,NGA,75657.0,41300.0
2414.0,Chibok,NGA,23334.0,41087.0
4023.0,Illela,NGA,40600.0,41040.0
6687.0,Ngambu,NGA,13924.0,40740.0
8763.0,Umuagu,NGA,18984.0,40678.0
5128.0,Kaura Munjo,NGA,26407.0,40563.0
4064.0,Inisa,NGA,55986.0,40457.0
4094.0,Isa,NGA,29835.0,40330.0
1304.0,Asa/Awara,NGA,30000.0,40258.0
8719.0,Uke,NGA,26250.0,40199.0
7936.0,Share,NGA,28302.0,40168.0
4181.0,Jamaare,NGA,29280.0,40040.0
7013.0,Oju,NGA,109060.0,40000.0
5196.0,Lafiagi,NGA,58655.0,39942.0
4163.0,Izom/Mararaba,NGA,54122.0,39926.0
5218.0,Lapai,NGA,47440.0,39850.0
1151.0,Amassama,NGA,13663.0,39839.0
2973.0,Egbolom,NGA,23341.0,39743.0
7118.0,Oro Esie Iludin,NGA,84437.0,39510.0
2604.0,Danja 1,NGA,17358.0,39350.0
4075.0,Iperu,NGA,51288.0,39294.0
3919.0,Igarra,NGA,80665.0,39206.0
2238.0,Bunza,NGA,40626.0,38839.0
2746.0,Dilpurtu,NGA,39872.0,38837.0
1502.0,Baissa,NGA,22845.0,38670.0
1220.0,Anka,NGA,21040.0,38611.0
3992.0,Ikot Akpaete,NGA,33792.0,38461.0
8948.0,Wannune,NGA,51308.0,38309.0
2203.0,Bula Chirabe/Banki [NGA],NGA,35031.0,38231.0
2372.0,Charanchi,NGA,21075.0,38213.0
4203.0,Jesse,NGA,71202.0,38144.0
9124.0,Zango,NGA,26582.0,38112.0
8221.0,Sukuku,NGA,38970.0,37699.0
4516.0,Kankia,NGA,31672.0,37422.0
6999.0,Oguma 1,NGA,31380.0,37280.0
3389.0,Garko,NGA,22015.0,37236.0
725.0,Aliero,NGA,35945.0,37116.0
5131.0,Kurgwi,NGA,17594.0,37094.0
2570.0,Damban,NGA,20960.0,37079.0
5137.0,Kuta,NGA,33987.0,37011.0
4281.0,Kachia,NGA,25453.0,36641.0
1149.0,Amaseri,NGA,14980.0,36587.0
2970.0,Egbe Oke,NGA,55757.0,36463.0
6537.0,Namu,NGA,19295.0,36427.0
1435.0,Azuwa,NGA,62132.0,36369.0
3863.0,Ibi,NGA,36186.0,36243.0
6983.0,Ogboja,NGA,39258.0,36238.0
4398.0,Kagara,NGA,21068.0,36219.0
7709.0,Samamiya,NGA,20077.0,36106.0
4043.0,Imeko,NGA,53538.0,36079.0
7878.0,Serti,NGA,36288.0,35808.0
6842.0,Ashaka/Jalingo,NGA,22500.0,35644.0
2691.0,Dengi,NGA,29166.0,35627.0
5873.0,Mbogwo,NGA,20064.0,35608.0
2962.0,Edun,NGA,25174.0,35569.0
4076.0,Ipetu Ijesha,NGA,38361.0,35536.0
2012.0,Bokkos,NGA,18859.0,35482.0
3973.0,Ikara,NGA,21976.0,35223.0
3685.0,Gwandu,NGA,31418.0,35208.0
2547.0,Dakingari,NGA,33122.0,35001.0
8297.0,Takai,NGA,23330.0,34695.0
3964.0,Ijebu Ijesha,NGA,45213.0,34694.0
3931.0,Igbeti,NGA,68782.0,34660.0
748.0,Alkaleri,NGA,30800.0,34468.0
7279.0,Pandogari,NGA,15096.0,34364.0
15.0,Abaji,NGA,63838.0,34363.0
3842.0,Hunkuyi,NGA,13161.0,34344.0
7151.0,Otun Ekiti,NGA,37893.0,34259.0
6841.0,Sabon Rijiya,NGA,23000.0,34203.0
298.0,Aidu,NGA,15652.0,34177.0
5984.0,Miango,NGA,11500.0,33919.0
7046.0,Okpella,NGA,67925.0,33906.0
3386.0,Garin Madsam,NGA,25840.0,33850.0
4451.0,Kalin,NGA,32339.0,33791.0
3007.0,Eku,NGA,45651.0,33762.0
6660.0,Nembe,NGA,20000.0,33526.0
3619.0,Guai,NGA,20025.0,33507.0
7042.0,Okpakeke,NGA,41425.0,33444.0
5438.0,Madagali,NGA,31281.0,33296.0
4049.0,Imota,NGA,28906.0,33288.0
7106.0,Ikpa Ibekwe,NGA,51300.0,33213.0
7535.0,Rogo,NGA,20130.0,33207.0
2776.0,Dirindaji,NGA,18830.0,33171.0
4014.0,Ile Igbo,NGA,25486.0,32967.0
2190.0,Buguma,NGA,12300.0,32787.0
8228.0,Sumaila,NGA,20055.0,32726.0
4071.0,Inyi-Umuom,NGA,20650.0,32366.0
6663.0,Nenwe,NGA,30500.0,32335.0
3659.0,Gulma,NGA,18422.0,32306.0
3942.0,Igede Ekiti,NGA,64818.0,32249.0
9058.0,Yankara,NGA,11872.0,32168.0
5660.0,Mani,NGA,24463.0,32057.0
6984.0,Ogboloko,NGA,45225.0,32011.0
1513.0,Bakura,NGA,14960.0,31999.0
7702.0,Salka,NGA,31881.0,31889.0
3335.0,Gali,NGA,15360.0,31611.0
138.0,Abuochicie,NGA,24950.0,31591.0
398.0,Akamkpa,NGA,24000.0,31580.0
4015.0,Ile Oluji,NGA,95207.0,31572.0
7579.0,Rumirigo,NGA,13281.0,31430.0
4567.0,Karaye,NGA,19120.0,31324.0
4113.0,Isikpo,NGA,25764.0,31308.0
9037.0,Yabo,NGA,23175.0,31291.0
9195.0,Zurmi,NGA,23760.0,31085.0
4170.0,Jahun,NGA,24614.0,31076.0
4190.0,Jebba,NGA,52271.0,31026.0
9073.0,Yelwa 2,NGA,22417.0,30905.0
4127.0,Issele Uku,NGA,51030.0,30901.0
2969.0,Effon,NGA,41397.0,30901.0
1144.0,Amaokwe,NGA,24240.0,30867.0
3970.0,Ayetoro Iju & Ifa Ogbolu,NGA,55080.0,30736.0
6959.0,Ode Aye ,NGA,24727.0,30694.0
8951.0,Warawa,NGA,10150.0,30639.0
7241.0,Owode,NGA,16380.0,30628.0
5758.0,Mashi,NGA,22042.0,30611.0
3957.0,Ihubogo,NGA,20760.0,30594.0
8939.0,Wamba,NGA,31757.0,30426.0
4002.0,Ikpayongo,NGA,45430.0,30410.0
