unique_id,ISO3,Agglomeration_Name,worldpop_built_km2_2015,worldpop_built_km2_2020,worldpop_built_km2_2025,africapolis_pop_2015,africapolis_pop_2020,africapolis_pop_2025,worldpop_built_cagr_2015_2020,worldpop_built_cagr_2020_2025,africapolis_pop_cagr_2015_2020,africapolis_pop_cagr_2020_2025,buppercapita_2015,size_category_2015,buppercapita_2020,size_category_2020,buppercapita_2025,size_category_2025
SLE_6239,SLE,Moriba Town,0.702742,0.766852,0.770787,16329,20000,20054,0.01761413034396786,0.0010241736356821907,0.04139162649044659,0.0005394177430020353,43.03643823871639,Fewer than 300 000,38.342600000000004,Fewer than 300 000,38.435573950334096,Fewer than 300 000
SLE_6278,SLE,Moyamba,0.634542,0.663227,0.665828,10249,11000,11000,0.008881979938762719,0.0007831193248417634,0.014243512355785137,0.0,61.912576836764565,Fewer than 300 000,60.29336363636364,Fewer than 300 000,60.52981818181818,Fewer than 300 000
SLE_7358,SLE,Port Loko,1.44165,1.492532,1.503378,33541,34000,34000,0.006961260841578332,0.0014491629364534742,0.0027220888781711583,0.0,42.98172386035002,Fewer than 300 000,43.897999999999996,Fewer than 300 000,44.217,Fewer than 300 000
SLE_7536,SLE,Rokupr,0.387506,0.389466,0.391895,11000,12000,12000,0.0010095567711070341,0.0012442487692050364,0.017554577175587616,0.0,35.22781818181818,Fewer than 300 000,32.4555,Fewer than 300 000,32.657916666666665,Fewer than 300 000
SLE_7833,SLE,Segbwema,0.592538,0.606556,0.617555,18686,19000,19000,0.0046873617121843125,0.0036006821734053673,0.0033384399783444874,0.0,31.71026436904635,Fewer than 300 000,31.924000000000003,Fewer than 300 000,32.50289473684211,Fewer than 300 000
SLE_8574,SLE,Torgbonbu,0.550275,0.551477,0.551477,18800,14000,14000,0.00043649125725830906,0.0,-0.05725543512706488,0.0,29.269946808510635,Fewer than 300 000,39.391214285714284,Fewer than 300 000,39.391214285714284,Fewer than 300 000
SLE_9090,SLE,Yonibana,1.242035,1.288071,1.294041,28829,33500,33500,0.007305473095912118,0.0009252537611872391,0.03048825383670173,0.0,43.08283325817753,Fewer than 300 000,38.44988059701492,Fewer than 300 000,38.628089552238805,Fewer than 300 000
SOM_1439,SOM,Baar Dheere ,1.366845,1.52423,1.549761,48300,50100,51618,0.022036126554243474,0.0033277970591782946,0.0073447306733929185,0.005987743451272509,28.29906832298137,Fewer than 300 000,30.42375249500998,Fewer than 300 000,30.02365453911426,Fewer than 300 000
SOM_1521,SOM,Bal'ad,0.48203,0.51766,0.521607,11800,14000,16624,0.014364654824824186,0.001520309434445366,0.03478281035457087,0.034955076004062224,40.85,Fewer than 300 000,36.97571428571429,Fewer than 300 000,31.376744465832534,Fewer than 300 000
SOM_1530,SOM,Beledweyne,3.756598,4.075826,4.103496,176800,141889,141889,0.016445698903604145,0.0013540895066230796,-0.043041083276714076,0.0,21.24772624434389,Fewer than 300 000,28.725454404499292,Fewer than 300 000,28.920465998068913,Fewer than 300 000
SOM_1538,SOM,Ballanbale,0.0,0.0,0.0,11500,29823,48673,,,0.20995912071609024,0.10292849533620507,0.0,Fewer than 300 000,0.0,Fewer than 300 000,0.0,Fewer than 300 000
SOM_1666,SOM,Barawa E Al Bambar,0.778133,0.957595,0.963911,13600,20400,28885,0.042378889107035356,0.0013156715081024117,0.08447177119769855,0.07203370745594695,57.21566176470588,Fewer than 300 000,46.94093137254902,Fewer than 300 000,33.37064220183486,Fewer than 300 000
SOM_1677,SOM,Berdale,0.427946,0.671216,0.677933,16700,28300,42881,0.09419484854819737,0.0019934783867623374,0.11125567761224753,0.08666503649063584,25.625508982035928,Fewer than 300 000,23.717879858657245,Fewer than 300 000,15.809635969310419,Fewer than 300 000
SOM_1733,SOM,Baidoa,4.012773,5.371194,5.425599,170200,249133,347430,0.06004731225408322,0.0020176482993035094,0.07918112381624409,0.06877727679522838,23.576809635722682,Fewer than 300 000,21.559544500327135,Fewer than 300 000,15.616380278041621,300 000 to 500 000
SOM_1776,SOM,Belet Xawo/Mandera [SOM],1.059712,1.571814,1.590075,23200,45000,72535,0.08203836649161578,0.0023128341912208583,0.14168134765084162,0.10018829545791452,45.67724137931034,Fewer than 300 000,34.9292,Fewer than 300 000,21.92148617908596,Fewer than 300 000
SOM_1831,SOM,Berbera,1.51861,1.729829,1.742171,39100,43204,47822,0.02638756940838549,0.0014229067625417535,0.02016269891170719,0.020518202772952465,38.83913043478261,Fewer than 300 000,40.038630682344234,Fewer than 300 000,36.43032495504161,Fewer than 300 000
