ISO3,unique_id,Agglomeration_Name,Surface km2,africapolis_geometry_year,worldpop_year,worldpop_population_total,worldpop_built_surface_km2,worldpop_built_volume_m3
BEN,BEN_5005,Kossou,5.0,2015,2015,12654.0,1.045545,5436180.0
BEN,BEN_5297,Lobogo Gbede Come,5.0,2015,2015,15996.0,0.93062,9191253.0
BEN,BEN_5310,Lokossa,9.0,2015,2015,54741.0,2.546027,20266574.0
BEN,BEN_5442,Madecali,1.0,2015,2015,2404.0,0.22858,890170.0
BEN,BEN_5601,Malanville,8.0,2015,2015,39000.0,2.188183,13854897.0
BEN,BEN_5662,Manigri Oké,4.0,2015,2015,12009.0,0.982719,6347150.0
BEN,BEN_5797,Materi,5.0,2015,2015,10626.0,0.940895,5125152.0
BEN,BEN_6569,Natitingou,17.0,2015,2015,79417.0,4.017178,30503518.0
BEN,BEN_6610,N'Dali,6.0,2015,2015,19221.0,1.270949,7346199.0
BEN,BEN_6758,Nikki,9.0,2015,2015,34515.0,2.156292,13461764.0
BEN,BEN_7033,Oke-Odan,1.0,2015,2015,2864.0,0.251843,1271821.0
BEN,BEN_7099,Onklou,2.0,2015,2015,3610.0,0.375511,1531130.0
BEN,BEN_7158,Ouake,4.0,2015,2015,9169.0,0.795232,4103277.0
BEN,BEN_7187,Ouesse Centre,5.0,2015,2015,17927.0,1.362811,8735512.0
BEN,BEN_7190,Ouidah,18.0,2015,2015,93034.0,4.622234,33681720.0
BEN,BEN_7286,Parakou,71.0,2015,2015,433797.0,20.593278,147443120.0
BEN,BEN_7289,Partago,4.0,2015,2015,10516.0,0.851477,4668495.0
BEN,BEN_7304,Perere I,2.0,2015,2015,9840.0,0.560219,3354753.0
BEN,BEN_7335,Pira Adjigo,2.0,2015,2015,9152.0,0.561706,3189986.0
BEN,BEN_7345,Pobe,8.0,2015,2015,42349.0,2.594345,20222552.0
BEN,BEN_7367,Porto-Novo,137.0,2015,2015,868562.0,37.322656,298837408.0
BEN,BEN_7682,Sakete I,8.0,2015,2015,30003.0,1.796328,10634464.0
BEN,BEN_7803,Savalou,8.0,2015,2015,38449.0,2.214938,16130781.0
BEN,BEN_7804,Save,10.0,2015,2015,34692.0,2.252448,15329200.0
BEN,BEN_7817,Sé,4.0,2015,2015,16960.0,0.86822,4878291.0
BEN,BEN_7832,Segbana II,4.0,2015,2015,9376.0,0.751203,3688079.0
BEN,BEN_7843,Garou II,2.0,2015,2015,3375.0,0.412159,1944064.0
BEN,BEN_796,Allawénoussa I,1.0,2015,2015,6413.0,0.312715,1891082.0
BEN,BEN_8104,Sinaourarou,4.0,2015,2015,17635.0,0.95348,5751633.0
BEN,BEN_8152,Sokomey,2.0,2015,2015,2982.0,0.475718,2735068.0
BEN,BEN_8161,Somai,1.0,2015,2015,2881.0,0.408486,2570258.0
BEN,BEN_8164,Sompérékou A,4.0,2015,2015,7984.0,0.695071,3743378.0
BEN,BEN_8362,Tanguiéta,7.0,2015,2015,30397.0,1.703048,12708692.0
BEN,BEN_8410,Tchatchou,2.0,2015,2015,6877.0,0.487178,2562052.0
BEN,BEN_8414,Tchetti,2.0,2015,2015,7235.0,0.473404,2888628.0
BEN,BEN_8417,Tchingayare,2.0,2015,2015,7663.0,0.595614,3962863.0
BEN,BEN_8593,Toui-Centre,1.0,2015,2015,5150.0,0.395802,2307667.0
BEN,BEN_8604,Toviklin,2.0,2015,2015,6167.0,0.491684,2985428.0
BEN,BEN_8608,Tozoungo,3.0,2015,2015,3482.0,0.386842,1375406.0
BEN,BEN_9016,Worogui,7.0,2015,2015,23292.0,1.372377,7224860.0
BFA,BFA_1274,Arbinda,2.0,2015,2015,3340.0,0.299205,1393739.0
BFA,BFA_1564,Ban,2.0,2015,2015,3938.0,0.498239,2867288.0
BFA,BFA_1581,Banfora,19.0,2015,2015,71434.0,5.57572,36590380.0
BFA,BFA_1659,Banzon,3.0,2015,2015,8952.0,0.673807,3875210.0
BFA,BFA_1693,Barsalogho,3.0,2015,2015,4154.0,0.484832,2100724.0
BFA,BFA_1717,Batie,5.0,2015,2015,6018.0,0.843965,4498865.0
BFA,BFA_1759,Beguedo,15.0,2015,2015,21911.0,2.115573,9606299.0
BFA,BFA_1793,Bena,5.0,2015,2015,5868.0,0.644543,2859385.0
BFA,BFA_1960,Bittou,6.0,2015,2015,13724.0,1.49082,9265822.0
BFA,BFA_1975,Bobo-Dioulasso,118.0,2015,2015,631699.0,34.750436,250160992.0
BFA,BFA_1992,Bogande,5.0,2015,2015,11888.0,0.846824,4628634.0
BFA,BFA_2011,Bokin,5.0,2015,2015,8888.0,0.830281,4223893.0
BFA,BFA_2068,Boromo,10.0,2015,2015,14528.0,2.020583,14466203.0
BFA,BFA_2121,Boulsa,6.0,2015,2015,12750.0,1.218946,6243977.0
BFA,BFA_2138,Bousse,8.0,2015,2015,13741.0,1.248639,8121693.0
BFA,BFA_2140,Boussouma,3.0,2015,2015,4973.0,0.311047,1245615.0
BFA,BFA_2491,Cinkanse ,8.0,2015,2015,16204.0,1.907433,12086109.0
BFA,BFA_2594,Dande,4.0,2015,2015,5815.0,0.734497,3838652.0
BFA,BFA_2606,Dano,5.0,2015,2015,9550.0,1.067596,7084023.0
BFA,BFA_2666,Dedougou,19.0,2015,2015,40460.0,4.309889,31568446.0
BFA,BFA_2714,Diapaga,5.0,2015,2015,6754.0,0.935202,5373435.0
BFA,BFA_2726,Didyr,5.0,2015,2015,4441.0,0.399804,1527576.0
BFA,BFA_2727,Diebougou,10.0,2015,2015,14186.0,1.690293,10265022.0
BFA,BFA_2778,Dirlakou,2.0,2015,2015,2961.0,0.425968,1834459.0
BFA,BFA_2801,Djibo,12.0,2015,2015,23577.0,2.001433,10872789.0
BFA,BFA_2860,Dori (east),9.0,2015,2015,31200.0,1.867205,10011852.0
BFA,BFA_3183,Fada-N'Gourma,26.0,2015,2015,40685.0,6.056716,39049136.0
