ISO3_Code,Year,Rural_Pop,Urban_Pop,Total_Pop,Urbanization_Rate
CPV,1954.0,180824.49698480498,12723.5030151947,193547.99999999968,0.06573823038830016
CPV,1955.0,182811.90189168,12802.0981083204,195614.0000000004,0.06544571507315619
CPV,1956.0,184938.884116128,12908.1158838715,197846.9999999995,0.06524291944720684
CPV,1957.0,187244.695542076,13041.304457924402,200286.0000000004,0.06511341011316006
CPV,1958.0,189879.938377157,13209.061622843,203089.0,0.06504075367372433
CPV,1959.0,192939.23253836602,13414.7674616341,206354.00000000012,0.06500851673160729
CPV,1960.0,196372.234696217,13651.765303783399,210024.0000000004,0.06500097752534649
CPV,1961.0,200902.239649827,14184.760350172599,215086.99999999962,0.06594894321912818
CPV,1962.0,205890.605350058,16028.394649941798,221918.9999999998,0.07222632875031797
CPV,1963.0,210256.63433523302,19115.3656647671,229372.00000000012,0.08333783401970202
CPV,1964.0,213765.263757946,23240.7362420542,237006.0000000002,0.09805969571257345
CPV,1965.0,216656.387337689,28199.6126623111,244856.0000000001,0.11516815051422506
CPV,1966.0,219219.025463625,33756.9745363747,252975.9999999997,0.1334394351099501
CPV,1967.0,221762.139292086,39641.860707914195,261404.0000000002,0.15164978618503988
CPV,1968.0,224620.984713078,45543.0152869224,270164.0000000004,0.16857544042478764
CPV,1969.0,228147.67279709902,51100.3272029015,279248.0000000005,0.18299263451448677
CPV,1970.0,232210.110135446,55674.8898645535,287884.99999999953,0.1933928126319662
CPV,1971.0,235224.18566851498,58821.8143314848,294045.99999999977,0.20004289917728807
CPV,1972.0,236500.752960881,60885.2470391191,297386.0000000001,0.2047347455465929
CPV,1973.0,237363.347356649,62517.6526433508,299880.99999999977,0.20847487050980504
CPV,1974.0,238552.55382586,64017.4461741404,302570.0000000004,0.21157896081614275
CPV,1975.0,240284.81030985402,65562.1896901455,305846.99999999953,0.21436270321482834
CPV,1976.0,242259.389091454,67195.6109085462,309455.00000000023,0.21714178445507795
CPV,1977.0,243937.9765214,68896.0234785999,312833.9999999999,0.22023189128611317
CPV,1978.0,245346.28703510299,70800.7129648972,316147.0000000002,0.22394871045715178
CPV,1979.0,246444.33893336,73035.6610666401,319480.0000000001,0.228607928717416
CPV,1980.0,247453.056119121,75847.943880879,323301.0,0.2346047302076981
CPV,1981.0,247562.15150397198,80283.8484960281,327846.0000000001,0.2448828062444809
CPV,1982.0,245918.816032916,86805.18396708381,332723.99999999977,0.26089246332420823
CPV,1983.0,242669.747749896,94984.2522501043,337654.0000000003,0.28130646238487983
CPV,1984.0,238089.006485624,104415.993514376,342505.0,0.30485976413300825
CPV,1985.0,232634.74186635402,114730.258133646,347365.0,0.33028732927510257
CPV,1986.0,226774.7371568,125537.26284319999,352312.0,0.3563241185176775
CPV,1987.0,220918.00701553898,136383.99298446102,357302.0,0.3817050925672429
CPV,1988.0,215525.893854038,146803.106145962,362329.0,0.405165212130307
CPV,1989.0,211325.67297770502,156478.32702229498,367804.0,0.4254394379133859
CPV,1990.0,209759.347039465,165668.65296053502,375428.0,0.4412794276413454
CPV,1991.0,209996.529313499,174589.47068650098,384586.0,0.4539673068871487
CPV,1992.0,210223.362129183,183191.637870817,393415.0,0.46564477173167523
CPV,1993.0,210452.999378773,191512.000621227,401965.0,0.4764394925459356
CPV,1994.0,210654.14017732898,199573.85982267102,410228.0,0.4864949730946474
CPV,1995.0,210743.348943841,207360.65105615903,418104.0,0.4959547171425268
CPV,1996.0,210678.669852193,214902.330147807,425581.0,0.5049622284542943
CPV,1997.0,210486.541850091,222311.45814990898,432798.0,0.513661010794664
CPV,1998.0,210131.184138195,229652.81586180502,439784.0,0.522194567928358
CPV,1999.0,209548.976655557,236971.023344443,446520.0,0.5307064036200909
CPV,2000.0,208829.028787919,244488.971212081,453318.0,0.539332149202284
CPV,2001.0,208161.906415852,252131.093584148,460293.0,0.5477621723209956
CPV,2002.0,207506.946116815,259539.05388318497,467046.0,0.5557034079794816
CPV,2003.0,206727.74217506198,266655.25782493805,473383.0,0.5632970719796403
CPV,2004.0,205804.486449928,273565.51355007204,479370.0,0.5706771670110187
CPV,2005.0,204729.77214215999,280386.22785784,485116.0,0.5779776957631577
CPV,2006.0,203488.873969303,287239.12603069696,490728.0,0.5853326609255982
CPV,2007.0,202010.825214421,294179.174785579,496190.0,0.5928760651878897
CPV,2008.0,200170.039090484,301184.960909516,501355.0,0.6007419112395728
CPV,2009.0,197868.635851834,308272.364148166,506141.0,0.6090642017701905
CPV,2010.0,194750.608447276,315033.391552724,509784.0,0.6179742627323023
CPV,2011.0,190554.586973802,320891.413026198,511446.0,0.6274199290368836
CPV,2012.0,185706.324005703,326248.675994296,511954.99999999895,0.6372604545209962
CPV,2013.0,180566.37735213301,331658.622647867,512225.0,0.6474862075218254
CPV,2014.0,175171.88654433202,337154.113455668,512326.0,0.6580851127127414
CPV,2015.0,169579.307711898,342814.692288102,512394.0,0.6690450947671167
CPV,2016.0,163835.795721132,348718.204278868,512554.0,0.6803540783583154
CPV,2017.0,157971.05007280002,354921.9499272,512893.0,0.6919999881597136
CPV,2018.0,151985.85798191,361429.14201809,513415.0,0.7039707488446774
CPV,2019.0,145874.80701985,368229.19298015,514104.0,0.7162542850865778
CPV,2020.0,139561.389724125,375118.610275875,514680.0,0.7288385215587841
CPV,2021.0,133498.00411215198,383150.995887848,516649.0,0.7416079308928267
CPV,2022.0,129759.89946516299,389981.10053483705,519741.00000000006,0.7503373806084896
CPV,2023.0,125847.972515639,396482.027484361,522330.0,0.7590642457533763
CPV,2024.0,121917.65746364799,402959.342536352,524877.0,0.7677214710043534
CPV,2025.0,117962.47394092301,409363.526059077,527326.0,0.7763006680100678
CPV,2026.0,113979.845914449,415650.154085551,529630.0,0.7847934484178596
CPV,2027.0,109995.691001491,421876.30899850896,531872.0,0.793191423873618
CPV,2028.0,106029.195070777,428085.804929223,534115.0,0.8014862060215928
CPV,2029.0,102083.433160308,434264.566839692,536348.0,0.8096694065041578
CPV,2030.0,98171.753475589,440442.246524411,538614.0,0.8177326369615551
CPV,2031.0,94272.7351460624,446491.264853938,540764.0000000005,0.825667509031551
CPV,2032.0,90394.0210035096,452400.97899648995,542794.9999999995,0.8334656343490459
CPV,2033.0,86551.900329799,458206.099670201,544758.0,0.84111862454558
CPV,2034.0,82753.2231826954,463898.776817305,546652.0000000005,0.8486180912487371
CPV,2035.0,79021.4361605542,469569.563839446,548591.0000000002,0.8559556460814082
CPV,2036.0,75347.2843816088,475126.715618391,550473.9999999998,0.8631229006608689
CPV,2037.0,71735.7484471892,480551.251552811,552287.0000000002,0.87011146659764
CPV,2038.0,68200.3157939552,485881.684206045,554082.0000000002,0.876912955494033
CPV,2039.0,64739.802060800896,491057.197939199,555796.9999999999,0.88351897894231
CPV,2040.0,61355.089763521595,496018.910236478,557373.9999999997,0.8899211485223177
CPV,2041.0,58055.0008444876,500762.99915551196,558817.9999999995,0.8961110757984038
CPV,2042.0,54848.4064923833,505288.593507617,560137.0000000003,0.9020803723153741
CPV,2043.0,51744.6018128655,509602.398187134,561346.9999999995,0.9078206495930938
CPV,2044.0,48752.3134656579,513710.686534342,562462.9999999999,0.9133235191191992
CPV,2045.0,45877.8821511406,517598.11784885905,563475.9999999997,0.918580592339087
CPV,2046.0,43125.9683658144,521228.031634186,564354.0000000003,0.9235834806419121
CPV,2047.0,40498.5608328476,524522.439167152,565020.9999999997,0.9283237953406198
CPV,2048.0,38006.012662803005,527501.987337197,565508.0,0.932793147642822
CPV,2049.0,35661.1183079189,530236.8816920811,565898.0,0.9369831342257459
CPV,2050.0,33466.5802319961,532667.419768004,566134.0000000001,0.940885761618281
ERI,1950.0,757010.5147771171,57855.4852228832,814866.0000000002,0.07099999904632563
ERI,1951.0,765324.8450448719,61701.1549551278,827025.9999999998,0.07460606432582267
ERI,1952.0,774664.352252734,65675.6477472664,840340.0000000005,0.07815366131240493
ERI,1953.0,784924.699634213,69777.3003657872,854702.0000000002,0.08163933203126608
ERI,1954.0,796017.3456464,74003.6543535995,870020.9999999995,0.08505961850759872
ERI,1955.0,807883.8449669201,78353.1550330797,886236.9999999998,0.08841106276659598
ERI,1956.0,820573.4253152129,82833.5746847873,903407.0000000002,0.09169020683345079
ERI,1957.0,831609.956783778,87188.0432162222,918798.0000000002,0.09489359273335617
ERI,1958.0,841173.301002385,91409.6989976154,932583.0000000003,0.09801776249150516
ERI,1959.0,854500.707351976,96063.2926480235,950563.9999999994,0.10105925813309105
ERI,1960.0,871386.9957403879,101159.004259613,972546.0000000009,0.10401462168330639
ERI,1961.0,889165.764342063,106407.235657937,995573.0,0.10688039516734282
ERI,1962.0,907965.063438964,111822.936561036,1019788.0,0.10965312061039745
ERI,1963.0,927697.5053613641,117394.49463863601,1045092.0000000001,0.11232934003765793
ERI,1964.0,948190.1293411,123096.8706589,1071287.0,0.11490559547432201
ERI,1965.0,969414.163244056,128920.83675594401,1098335.0,0.11737842894558036
ERI,1966.0,990248.838466626,134707.16153337402,1124956.0,0.11974438247662487
ERI,1967.0,1011753.6441979101,140585.355802087,1152338.9999999972,0.12199999809265098
ERI,1968.0,1035063.8814351,146673.118564904,1181737.000000004,0.12411654925326321
ERI,1969.0,1059193.50921593,152811.490784074,1212005.000000004,0.1260815679671895
ERI,1970.0,1084395.48584366,159057.51415633698,1243452.999999997,0.12791598408330462
ERI,1971.0,1110712.46710116,165441.53289883598,1276153.999999996,0.12964072745047736
ERI,1972.0,1137362.91312482,171872.086875178,1309234.999999998,0.13127672791758416
ERI,1973.0,1164302.25037409,178366.749625912,1342669.0000000019,0.1328449153334975
ERI,1974.0,1190842.0041637002,184845.99583630002,1375688.0000000002,0.13436621954709208
ERI,1975.0,1216888.37793682,191321.62206317802,1408209.9999999981,0.13586157040723917
ERI,1976.0,1245497.3685467702,198309.631453234,1443807.0000000042,0.13735189776281279
ERI,1977.0,1276698.7943280202,205866.205671979,1482564.999999999,0.13885813146268738
ERI,1978.0,1308634.29988246,213743.70011754,1522378.0,0.14040120135573425
ERI,1979.0,1341335.67103806,221996.32896194502,1563332.0000000051,0.14200203729082772
