ISO3_Code,Category,Year,Pop
SDN,Cities,1953,467665.0
SDN,Rural,1953,3616487.0
SDN,Towns,1953,2681753.0
SEN,Cities,1953,540529.0
SEN,Rural,1953,1271188.0
SEN,Towns,1953,945849.0
SLE,Cities,1953,129482.0
SLE,Rural,1953,1065085.0
SLE,Towns,1953,876243.0
SOM,Cities,1953,308083.0
SOM,Rural,1953,1156502.0
SOM,Towns,1953,938986.0
SSA,Cities,1953,14707452.0
SSA,Rural,1953,110146793.0
SSA,Towns,1953,70362923.0
SSD,Cities,1953,80838.0
SSD,Rural,1953,2225873.0
SSD,Towns,1953,305022.0
STP,Cities,1953,0.0
STP,Rural,1953,13828.0
STP,Towns,1953,49499.0
SWZ,Cities,1953,0.0
SWZ,Rural,1953,260529.99999999997
SWZ,Towns,1953,32208.0
SYC,Cities,1953,0.0
SYC,Rural,1953,13520.0
SYC,Towns,1953,25792.0
TCD,Cities,1953,99429.0
TCD,Rural,1953,1654672.0
TCD,Towns,1953,909670.0
TGO,Cities,1953,34885.0
TGO,Rural,1953,790058.0
TGO,Towns,1953,651128.0
TZA,Cities,1953,70225.0
TZA,Rural,1953,6933740.0
TZA,Towns,1953,1209150.0
UGA,Cities,1953,195702.0
UGA,Rural,1953,5265781.0
UGA,Towns,1953,787952.0
ZAF,Cities,1953,1905400.0
ZAF,Rural,1953,6983187.0
ZAF,Towns,1953,5004324.0
ZMB,Cities,1953,0.0
ZMB,Rural,1953,1383865.0
ZMB,Towns,1953,1159673.0
ZWE,Cities,1953,279961.0
ZWE,Rural,1953,2324478.0
ZWE,Towns,1953,462727.0
AFE,Cities,1954,7886029.0
AFE,Rural,1954,71382083.0
AFE,Towns,1954,33514678.0
AFW,Cities,1954,7718270.0
AFW,Rural,1954,40629124.0
AFW,Towns,1954,38221692.0
AGO,Cities,1954,1031300.0
AGO,Rural,1954,1951857.0
AGO,Towns,1954,1783560.0
BDI,Cities,1954,0.0
BDI,Rural,1954,1550435.0
BDI,Towns,1954,904151.0
BEN,Cities,1954,183835.0
BEN,Rural,1954,1018987.0
BEN,Towns,1954,1125960.0
BFA,Cities,1954,41814.0
BFA,Rural,1954,3310075.0
BFA,Towns,1954,1061987.0
BWA,Cities,1954,0.0
BWA,Rural,1954,237467.0
BWA,Towns,1954,216576.0
CAF,Cities,1954,119644.0
CAF,Rural,1954,881161.0
CAF,Towns,1954,532952.0
CIV,Cities,1954,176982.0
CIV,Rural,1954,1959805.0
CIV,Towns,1954,911750.0
CMR,Cities,1954,450314.0
CMR,Rural,1954,1867028.0
CMR,Towns,1954,2299543.0
COD,Cities,1954,1718872.0
COD,Rural,1954,7036493.0
COD,Towns,1954,4587666.0
COG,Cities,1954,389555.0
COG,Rural,1954,240242.0
COG,Towns,1954,283220.0
COM,Cities,1954,0.0
COM,Rural,1954,92726.0
COM,Towns,1954,83412.0
CPV,Cities,1954,0.0
CPV,Rural,1954,80910.0
CPV,Towns,1954,112638.0
ERI,Cities,1954,231136.0
ERI,Rural,1954,427428.0
ERI,Towns,1954,211457.0
ETH,Cities,1954,607215.0
