 ISO3_Code , Category , Year , Pop , Pop_Rel 
 ZWE , Urban ," 1,951 "," 311,299 ", 0 
 AFE , Rural ," 1,952 "," 94,287,359 ", 1 
 AFE , Urban ," 1,952 "," 13,586,601 ", 0 
 AFW , Rural ," 1,952 "," 74,539,244 ", 1 
 AFW , Urban ," 1,952 "," 8,807,915 ", 0 
 AGO , Rural ," 1,952 "," 4,332,334 ", 1 
 AGO , Urban ," 1,952 "," 319,354 ", 0 
 BDI , Rural ," 1,952 "," 2,325,949 ", 1 
 BDI , Urban ," 1,952 "," 29,855 ", 0 
 BEN , Rural ," 1,952 "," 2,125,171 ", 1 
 BEN , Urban ," 1,952 "," 160,604 ", 0 
 BFA , Rural ," 1,952 "," 4,119,460 ", 1 
 BFA , Urban ," 1,952 "," 190,891 ", 0 
 BWA , Rural ," 1,952 "," 421,951 ", 1 
 BWA , Urban ," 1,952 "," 11,760 ", 0 
 CAF , Rural ," 1,952 "," 1,238,685 ", 1 
 CAF , Urban ," 1,952 "," 246,139 ", 0 
 CIV , Rural ," 1,952 "," 2,570,502 ", 1 
 CIV , Urban ," 1,952 "," 315,210 ", 0 
 CMR , Rural ," 1,952 "," 3,963,876 ", 1 
 CMR , Urban ," 1,952 "," 500,840 ", 0 
 COD , Rural ," 1,952 "," 10,163,991 ", 1 
 COD , Urban ," 1,952 "," 2,639,649 ", 0 
 COG , Rural ," 1,952 "," 586,894 ", 1 
 COG , Urban ," 1,952 "," 285,788 ", 0 
 COM , Rural ," 1,952 "," 155,667 ", 1 
 COM , Urban ," 1,952 "," 13,309 ", 0 
 CPV , Rural ," 1,952 "," 176,805 ", 1 
 CPV , Urban ," 1,952 "," 12,627 ", 0 
 ERI , Rural ," 1,952 "," 774,664 ", 1 
 ERI , Urban ," 1,952 "," 65,676 ", 0 
 ETH , Rural ," 1,952 "," 17,199,781 ", 1 
 ETH , Urban ," 1,952 "," 1,126,392 ", 0 
 GAB , Rural ," 1,952 "," 423,778 ", 1 
 GAB , Urban ," 1,952 "," 54,810 ", 0 
 GHA , Rural ," 1,952 "," 4,483,710 ", 1 
 GHA , Urban ," 1,952 "," 903,786 ", 0 
 GIN , Rural ," 1,952 "," 2,854,777 ", 1 
 GIN , Urban ," 1,952 "," 256,904 ", 0 
 GMB , Rural ," 1,952 "," 288,812 ", 1 
 GMB , Urban ," 1,952 "," 33,826 ", 0 
 GNB , Rural ," 1,952 "," 493,982 ", 1 
 GNB , Urban ," 1,952 "," 59,930 ", 0 
 GNQ , Rural ," 1,952 "," 191,984 ", 1 
 GNQ , Urban ," 1,952 "," 42,700 ", 0 
 KEN , Rural ," 1,952 "," 5,645,445 ", 1 
 KEN , Urban ," 1,952 "," 387,849 ", 0 
 LBR , Rural ," 1,952 "," 822,687 ", 1 
 LBR , Urban ," 1,952 "," 132,289 ", 0 
 LSO , Rural ," 1,952 "," 591,104 ", 1 
 LSO , Urban ," 1,952 "," 10,843 ", 0 
 MDG , Rural ," 1,952 "," 3,811,410 ", 1 
 MDG , Urban ," 1,952 "," 349,425 ", 0 
 MLI , Rural ," 1,952 "," 4,604,266 ", 1 
 MLI , Urban ," 1,952 "," 232,097 ", 0 
 MOZ , Rural ," 1,952 "," 5,902,853 ", 1 
 MOZ , Urban ," 1,952 "," 147,906 ", 0 
 MRT , Rural ," 1,952 "," 663,610 ", 1 
 MRT , Urban ," 1,952 "," 21,194 ", 0 
 MUS , Rural ," 1,952 "," 362,711 ", 1 
 MUS , Urban ," 1,952 "," 194,465 ", 0 
 MWI , Rural ," 1,952 "," 2,950,386 ", 1 
 MWI , Urban ," 1,952 "," 108,992 ", 0 
 NAM , Rural ," 1,952 "," 438,388 ", 1 
 NAM , Urban ," 1,952 "," 88,246 ", 0 
 NER , Rural ," 1,952 "," 2,627,898 ", 1 
 NER , Urban ," 1,952 "," 143,990 ", 0 
 NGA , Rural ," 1,952 "," 34,592,927 ", 1 
 NGA , Urban ," 1,952 "," 4,123,275 ", 0 
 RWA , Rural ," 1,952 "," 2,271,092 ", 1 
 RWA , Urban ," 1,952 "," 45,418 ", 0 
 SDN , Rural ," 1,952 "," 6,103,123 ", 1 
 SDN , Urban ," 1,952 "," 465,486 ", 0 
 SEN , Rural ," 1,952 "," 2,100,548 ", 1 
 SEN , Urban ," 1,952 "," 586,451 ", 0 
 SLE , Rural ," 1,952 "," 1,773,520 ", 1 
 SLE , Urban ," 1,952 "," 273,680 ", 0 
 SOM , Rural ," 1,952 "," 2,018,707 ", 1 
 SOM , Urban ," 1,952 "," 321,542 ", 0 
 SSA , Rural ," 1,952 "," 168,826,603 ", 1 
 SSA , Urban ," 1,952 "," 22,394,516 ", 0 
 SSD , Rural ," 1,952 "," 2,370,564 ", 1 
 SSD , Urban ," 1,952 "," 198,645 ", 0 
 STP , Rural ," 1,952 "," 54,208 ", 1 
 STP , Urban ," 1,952 "," 8,385 ", 0 
 SWZ , Rural ," 1,952 "," 281,022 ", 1 
 SWZ , Urban ," 1,952 "," 4,608 ", 0 
 SYC , Rural ," 1,952 "," 28,296 ", 1 
 SYC , Urban ," 1,952 "," 10,693 ", 0 
 TCD , Rural ," 1,952 "," 2,494,000 ", 1 
 TCD , Urban ," 1,952 "," 122,312 ", 0 
 TGO , Rural ," 1,952 "," 1,341,351 ", 1 
