iso3cd,hazard,sector,Loss,RP,Buildings_Loss,Total_AAL,Buildings_AAL,Scaling_Factor,CAP_Stock,GDP
CAF,Flood,all_assets,"56,015,881",10,40652226.2,"20,135,148",14612616.8,1.37792899626301,"11,327,701,629","1,925,711,692"
CAF,Flood,all_assets,"113,018,240",25,82020365.9,"20,135,148",14612616.8,1.37792899626301,"11,327,701,629","1,925,711,692"
CAF,Flood,all_assets,"157,154,426",50,114051178.6,"20,135,148",14612616.8,1.37792899626301,"11,327,701,629","1,925,711,692"
CAF,Flood,all_assets,"173,503,753",100,125916323.3,"20,135,148",14612616.8,1.37792899626301,"11,327,701,629","1,925,711,692"
CAF,Flood,all_assets,"182,297,370",250,132298086.7,"20,135,148",14612616.8,1.37792899626301,"11,327,701,629","1,925,711,692"
CAF,Flood,all_assets,"191,084,091",500,138674845.4,"20,135,148",14612616.8,1.37792899626301,"11,327,701,629","1,925,711,692"
CAF,Flood,all_assets,"199,863,923",1000,145046605.1,"20,135,148",14612616.8,1.37792899626301,"11,327,701,629","1,925,711,692"
CIV,Combined,all_assets,"196,959,467",10,0,"71,129,889",39658582.1,0,"102,117,131,531","56,308,342,392"
CIV,Combined,all_assets,"373,709,606",25,0,"71,129,889",39658582.1,0,"102,117,131,531","56,308,342,392"
CIV,Combined,all_assets,"495,694,711",50,0,"71,129,889",39658582.1,0,"102,117,131,531","56,308,342,392"
CIV,Combined,all_assets,"545,733,255",100,0,"71,129,889",39658582.1,0,"102,117,131,531","56,308,342,392"
CIV,Combined,all_assets,"591,158,516",250,0,"71,129,889",39658582.1,0,"102,117,131,531","56,308,342,392"
CIV,Combined,all_assets,"664,972,523",500,0,"71,129,889",39658582.1,0,"102,117,131,531","56,308,342,392"
CIV,Combined,all_assets,"861,523,485",1000,0,"71,129,889",39658582.1,0,"102,117,131,531","56,308,342,392"
CIV,Earthquake,all_assets,"9,512,978",10,4090987.9,"6,206,053",2668868.3,2.32534988706636,"102,117,131,531","56,308,342,392"
CIV,Earthquake,all_assets,"24,732,533",25,10636048.2,"6,206,053",2668868.3,2.32534988706636,"102,117,131,531","56,308,342,392"
CIV,Earthquake,all_assets,"49,461,135",50,21270405.6,"6,206,053",2668868.3,2.32534988706636,"102,117,131,531","56,308,342,392"
CIV,Earthquake,all_assets,"97,005,092",100,41716342.5,"6,206,053",2668868.3,2.32534988706636,"102,117,131,531","56,308,342,392"
CIV,Earthquake,all_assets,"243,349,217",250,104650581.3,"6,206,053",2668868.3,2.32534988706636,"102,117,131,531","56,308,342,392"
CIV,Earthquake,all_assets,"457,864,821",500,196901474.2,"6,206,053",2668868.3,2.32534988706636,"102,117,131,531","56,308,342,392"
CIV,Earthquake,all_assets,"719,438,471",1000,309389342,"6,206,053",2668868.3,2.32534988706636,"102,117,131,531","56,308,342,392"
CIV,Flood,all_assets,"169,341,508",10,96480649.7,"64,923,836",36989713.8,1.75518622963771,"102,117,131,531","56,308,342,392"
CIV,Flood,all_assets,"345,598,756",25,196901474.2,"64,923,836",36989713.8,1.75518622963771,"102,117,131,531","56,308,342,392"
CIV,Flood,all_assets,"478,690,769",50,272729332.8,"64,923,836",36989713.8,1.75518622963771,"102,117,131,531","56,308,342,392"
CIV,Flood,all_assets,"531,599,358",100,302873478.3,"64,923,836",36989713.8,1.75518622963771,"102,117,131,531","56,308,342,392"
CIV,Flood,all_assets,"558,759,352",250,318347616.3,"64,923,836",36989713.8,1.75518622963771,"102,117,131,531","56,308,342,392"
CIV,Flood,all_assets,"583,055,063",500,332189857.4,"64,923,836",36989713.8,1.75518622963771,"102,117,131,531","56,308,342,392"
CIV,Flood,all_assets,"610,203,131",1000,347657200.7,"64,923,836",36989713.8,1.75518622963771,"102,117,131,531","56,308,342,392"
CMR,Combined,all_assets,"402,785,211",10,0,"143,824,530",100506941.4,0,"110,744,396,011","34,850,269,556"
CMR,Combined,all_assets,"719,101,308",25,0,"143,824,530",100506941.4,0,"110,744,396,011","34,850,269,556"
CMR,Combined,all_assets,"895,891,183",50,0,"143,824,530",100506941.4,0,"110,744,396,011","34,850,269,556"
CMR,Combined,all_assets,"1,027,411,910",100,0,"143,824,530",100506941.4,0,"110,744,396,011","34,850,269,556"
CMR,Combined,all_assets,"1,772,082,570",250,0,"143,824,530",100506941.4,0,"110,744,396,011","34,850,269,556"
CMR,Combined,all_assets,"3,006,317,825",500,0,"143,824,530",100506941.4,0,"110,744,396,011","34,850,269,556"
CMR,Combined,all_assets,"4,345,083,637",1000,0,"143,824,530",100506941.4,0,"110,744,396,011","34,850,269,556"
CMR,Earthquake,all_assets,"61,779,334",10,42246827.9,"38,044,678",26016255.7,1.46234255377495,"110,744,396,011","34,850,269,556"
CMR,Earthquake,all_assets,"154,380,763",25,105570861.4,"38,044,678",26016255.7,1.46234255377495,"110,744,396,011","34,850,269,556"
CMR,Earthquake,all_assets,"309,721,491",50,211798179.5,"38,044,678",26016255.7,1.46234255377495,"110,744,396,011","34,850,269,556"
CMR,Earthquake,all_assets,"618,538,126",100,422977588,"38,044,678",26016255.7,1.46234255377495,"110,744,396,011","34,850,269,556"
CMR,Earthquake,all_assets,"1,539,598,383",250,1052830186.4,"38,044,678",26016255.7,1.46234255377495,"110,744,396,011","34,850,269,556"
CMR,Earthquake,all_assets,"2,843,195,065",500,1944274313.5,"38,044,678",26016255.7,1.46234255377495,"110,744,396,011","34,850,269,556"
CMR,Earthquake,all_assets,"4,141,002,683",1000,2831759680.6,"38,044,678",26016255.7,1.46234255377495,"110,744,396,011","34,850,269,556"
CMR,Flood,all_assets,"282,349,960",10,198832214.1,"105,779,852",74490685.7,1.42004132336776,"110,744,396,011","34,850,269,556"
CMR,Flood,all_assets,"574,254,345",25,404392700.2,"105,779,852",74490685.7,1.42004132336776,"110,744,396,011","34,850,269,556"
CMR,Flood,all_assets,"795,501,343",50,560195911.3,"105,779,852",74490685.7,1.42004132336776,"110,744,396,011","34,850,269,556"
CMR,Flood,all_assets,"881,349,373",100,620650511.1,"105,779,852",74490685.7,1.42004132336776,"110,744,396,011","34,850,269,556"
CMR,Flood,all_assets,"923,674,562",250,650456114.7,"105,779,852",74490685.7,1.42004132336776,"110,744,396,011","34,850,269,556"
CMR,Flood,all_assets,"960,266,019",500,676223996.8,"105,779,852",74490685.7,1.42004132336776,"110,744,396,011","34,850,269,556"
CMR,Flood,all_assets,"1,001,415,773",1000,705201853.1,"105,779,852",74490685.7,1.42004132336776,"110,744,396,011","34,850,269,556"
COD,Combined,all_assets,"938,088,790",10,0,"293,856,797",187481042,0,"96,885,416,626","42,593,570,931"
COD,Combined,all_assets,"1,727,500,816",25,0,"293,856,797",187481042,0,"96,885,416,626","42,593,570,931"
COD,Combined,all_assets,"2,198,250,155",50,0,"293,856,797",187481042,0,"96,885,416,626","42,593,570,931"
COD,Combined,all_assets,"2,417,395,026",100,0,"293,856,797",187481042,0,"96,885,416,626","42,593,570,931"
COD,Combined,all_assets,"3,144,880,195",250,0,"293,856,797",187481042,0,"96,885,416,626","42,593,570,931"
COD,Combined,all_assets,"5,062,328,821",500,0,"293,856,797",187481042,0,"96,885,416,626","42,593,570,931"
COD,Combined,all_assets,"7,246,198,100",1000,0,"293,856,797",187481042,0,"96,885,416,626","42,593,570,931"
COD,Earthquake,all_assets,"101,649,722",10,61543221.6,"54,924,912",33253962.6,1.65168022411861,"96,885,416,626","42,593,570,931"
COD,Earthquake,all_assets,"253,250,076",25,153328757.4,"54,924,912",33253962.6,1.65168022411861,"96,885,416,626","42,593,570,931"
COD,Earthquake,all_assets,"505,906,851",50,306298303.6,"54,924,912",33253962.6,1.65168022411861,"96,885,416,626","42,593,570,931"
COD,Earthquake,all_assets,"1,010,828,929",100,612000382.3,"54,924,912",33253962.6,1.65168022411861,"96,885,416,626","42,593,570,931"
COD,Earthquake,all_assets,"2,508,771,951",250,1518921105,"54,924,912",33253962.6,1.65168022411861,"96,885,416,626","42,593,570,931"
COD,Earthquake,all_assets,"4,645,607,585",500,2812655571.6,"54,924,912",33253962.6,1.65168022411861,"96,885,416,626","42,593,570,931"
COD,Earthquake,all_assets,"6,729,620,598",1000,4074408895.8,"54,924,912",33253962.6,1.65168022411861,"96,885,416,626","42,593,570,931"
COD,Flood,all_assets,"718,737,961",10,463934970.7,"238,931,884",154227079.4,1.54922134964581,"96,885,416,626","42,593,570,931"
COD,Flood,all_assets,"1,456,867,530",25,940386943.4,"238,931,884",154227079.4,1.54922134964581,"96,885,416,626","42,593,570,931"
COD,Flood,all_assets,"2,015,577,273",50,1301026011.3,"238,931,884",154227079.4,1.54922134964581,"96,885,416,626","42,593,570,931"
COD,Flood,all_assets,"2,239,470,819",100,1445546060.6,"238,931,884",154227079.4,1.54922134964581,"96,885,416,626","42,593,570,931"
COD,Flood,all_assets,"2,365,909,323",250,1527160288,"238,931,884",154227079.4,1.54922134964581,"96,885,416,626","42,593,570,931"
COD,Flood,all_assets,"2,474,340,346",500,1597150947.2,"238,931,884",154227079.4,1.54922134964581,"96,885,416,626","42,593,570,931"
COD,Flood,all_assets,"2,601,755,964",1000,1679395887.9,"238,931,884",154227079.4,1.54922134964581,"96,885,416,626","42,593,570,931"
