ISO_A3,ghsl_year,ghsl_type,flood_type,return_period,fathom_year,ftm3_ghsl_total_built_s_km2,ftm3_ghsl_new_built_s_km2,ftm3_ghsl_rate_built_s_%
BFA,2000,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in5,2020,0.337401906,0.033688031,0.021260606
BFA,2005,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in10,2020,1.801560875,0.298341375,0.036872385
BFA,2005,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in100,2020,24.901348,4.109228,0.036727973
BFA,2005,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in5,2020,0.398029438,0.060627531,0.033602455
BFA,2010,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in10,2020,2.2112635,0.409702625,0.041833484
BFA,2010,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in100,2020,30.66776,5.766412,0.04253787
BFA,2010,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in5,2020,0.483440781,0.085411344,0.039646314
BFA,2015,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in10,2020,2.72060675,0.50934325,0.042329561
BFA,2015,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in100,2020,37.850664,7.182904,0.042985545
BFA,2015,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in5,2020,0.584564875,0.101124094,0.038718548
BFA,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in10,2020,3.36649975,0.645893,0.043524291
BFA,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in100,2020,46.837928,8.987264,0.043529749
BFA,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in5,2020,0.725700625,0.14113575,0.044203047
BDI,1975,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in10,2020,0.155818188,,
BDI,1975,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in100,2020,1.736189,,
BDI,1975,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in5,2020,0.04852441,,
BDI,1980,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in10,2020,0.196304047,0.040485859,0.04727858
BDI,1980,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in100,2020,2.09925,0.363061,0.038707894
BDI,1980,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in5,2020,0.061588957,0.013064547,0.048838249
BDI,1985,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in10,2020,0.254824375,0.058520328,0.053567446
BDI,1985,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in100,2020,2.62699175,0.52774175,0.045872899
BDI,1985,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in5,2020,0.079214336,0.017625379,0.051623269
BDI,1990,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in10,2020,0.333117781,0.078293406,0.055045937
BDI,1990,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in100,2020,3.277827,0.65083525,0.045262726
BDI,1990,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in5,2020,0.101510266,0.02229593,0.050851227
BDI,1995,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in10,2020,0.37491625,0.041798469,0.02392298
BDI,1995,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in100,2020,3.84380075,0.56597375,0.03236903
BDI,1995,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in5,2020,0.11213907,0.010628805,0.02011562
BDI,2000,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in10,2020,0.441200063,0.066283812,0.033095001
BDI,2000,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in100,2020,4.567656,0.72385525,0.03511
BDI,2000,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in5,2020,0.12759743,0.015458359,0.026164521
BDI,2005,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in10,2020,0.538591875,0.097391813,0.040698303
BDI,2005,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in100,2020,5.1643455,0.5966895,0.024859615
BDI,2005,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in5,2020,0.150555219,0.022957789,0.033643499
BDI,2010,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in10,2020,0.705764625,0.16717275,0.055552935
BDI,2010,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in100,2020,6.106123,0.9417775,0.034070269
BDI,2010,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in5,2020,0.187873047,0.037317828,0.045282628
BDI,2015,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in10,2020,0.955983625,0.250219,0.062571378
BDI,2015,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in100,2020,7.424012,1.317889,0.039859403
BDI,2015,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in5,2020,0.241521391,0.053648344,0.051521663
BDI,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in10,2020,1.365189125,0.4092055,0.073861997
BDI,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in100,2020,9.283774,1.859762,0.045724249
BDI,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in5,2020,0.337346219,0.095824828,0.06911408
CPV,1975,built_s,COASTAL_DEFENDED,1in10,2020,0.010305339,,
CPV,1975,built_s,COASTAL_DEFENDED,1in100,2020,0.011993225,,
CPV,1975,built_s,COASTAL_DEFENDED,1in5,2020,0.007374,,
CPV,1975,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in10,2020,0.064100063,,
CPV,1975,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in100,2020,,,
CPV,1975,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in5,2020,0.004073223,,
CPV,1980,built_s,COASTAL_DEFENDED,1in10,2020,0.014255783,0.003950444,0.067052435
CPV,1980,built_s,COASTAL_DEFENDED,1in100,2020,0.016558785,0.004565561,0.066641559
CPV,1980,built_s,COASTAL_DEFENDED,1in5,2020,0.009145227,0.001771227,0.043994636
CPV,1980,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in10,2020,0.072996336,0.008896273,0.02633354
CPV,1980,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in100,2020,,,
CPV,1980,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in5,2020,0.004655334,0.000582111,0.0270759
CPV,1985,built_s,COASTAL_DEFENDED,1in10,2020,0.021327227,0.007071443,0.083898612
CPV,1985,built_s,COASTAL_DEFENDED,1in100,2020,0.024579115,0.00802033,0.082200063
CPV,1985,built_s,COASTAL_DEFENDED,1in5,2020,0.01242167,0.003276443,0.063156266
CPV,1985,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in10,2020,0.084983352,0.011987016,0.030876308
CPV,1985,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in100,2020,,,
CPV,1985,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in5,2020,0.005436665,0.000781331,0.031516879
CPV,1990,built_s,COASTAL_DEFENDED,1in10,2020,0.030028441,0.008701215,0.070827909
CPV,1990,built_s,COASTAL_DEFENDED,1in100,2020,0.034803996,0.010224881,0.072043908
CPV,1990,built_s,COASTAL_DEFENDED,1in5,2020,0.016259783,0.003838113,0.055326766
CPV,1990,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in10,2020,0.097818695,0.012835344,0.028531512
CPV,1990,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in100,2020,,,
CPV,1990,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in5,2020,0.006329443,0.000892779,0.030876397
