ISO_A3,ghsl_year,ghsl_type,flood_type,return_period,fathom_year,ftm3_ghsl_total_pop_#,ftm3_ghsl_new_pop_#,ftm3_ghsl_rate_pop_%
BDI,1995,pop,FLUVIAL_PLUVIAL_DEFENDED,1in10,2020,19234.2890625,527.583984375,0.0055780104860287
BDI,1995,pop,FLUVIAL_PLUVIAL_DEFENDED,1in100,2020,115174.46875,7170.453125,0.0129389308640135
BDI,1995,pop,FLUVIAL_PLUVIAL_DEFENDED,1in5,2020,5214.18359375,-85.44970703125,-0.0032457417648952
BDI,2000,pop,FLUVIAL_PLUVIAL_DEFENDED,1in10,2020,19576.34375,342.0546875,0.0035316839212695
BDI,2000,pop,FLUVIAL_PLUVIAL_DEFENDED,1in100,2020,121692.640625,6518.171875,0.0110709197418912
BDI,2000,pop,FLUVIAL_PLUVIAL_DEFENDED,1in5,2020,4959.62548828125,-254.55810546875,-0.0099605211456929
BDI,2005,pop,FLUVIAL_PLUVIAL_DEFENDED,1in10,2020,22244.216796875,2667.873046875,0.0258812855541212
BDI,2005,pop,FLUVIAL_PLUVIAL_DEFENDED,1in100,2020,140708.078125,19015.4375,0.0294634764892842
BDI,2005,pop,FLUVIAL_PLUVIAL_DEFENDED,1in5,2020,5185.884765625,226.25927734375,0.0089619671157499
BDI,2010,pop,FLUVIAL_PLUVIAL_DEFENDED,1in10,2020,27006.748046875,4762.53125,0.0395635289617071
BDI,2010,pop,FLUVIAL_PLUVIAL_DEFENDED,1in100,2020,172577.875,31869.796875,0.0416773406748891
BDI,2010,pop,FLUVIAL_PLUVIAL_DEFENDED,1in5,2020,5840.9072265625,655.0224609375,0.0240743516760266
BDI,2015,pop,FLUVIAL_PLUVIAL_DEFENDED,1in10,2020,31646.712890625,4639.96484375,0.0322176072068589
BDI,2015,pop,FLUVIAL_PLUVIAL_DEFENDED,1in100,2020,201731.140625,29153.265625,0.0317098227285721
BDI,2015,pop,FLUVIAL_PLUVIAL_DEFENDED,1in5,2020,6594.8076171875,753.900390625,0.0245764386368447
BDI,2020,pop,FLUVIAL_PLUVIAL_DEFENDED,1in10,2020,36972.95703125,5326.244140625,0.0315994829952495
