ISO_A3,ghsl_year,ghsl_type,flood_type,climate_scenario,return_period,fathom_year,ftm3_ghsl_total_built_s_km2,ftm3_ghsl_new_built_s_km2,ftm3_ghsl_rate_built_s_%
BEN,2020,built_s,COASTAL_DEFENDED,SSP5_8.5,1in10,2050,1.55668475,0.4304587500000001,0.0163159843070552
BEN,2020,built_s,COASTAL_DEFENDED,SSP5_8.5,1in10,2080,3.54082425,1.9841395,0.0277720192829771
BEN,2020,built_s,COASTAL_DEFENDED,SSP5_8.5,1in100,2030,1.173206375,,
BEN,2020,built_s,COASTAL_DEFENDED,SSP5_8.5,1in100,2050,1.585329125,0.41212275,0.0151664378038089
BEN,2020,built_s,COASTAL_DEFENDED,SSP5_8.5,1in100,2080,3.597578,2.012248875,0.0276921188108238
BEN,2020,built_s,COASTAL_DEFENDED,SSP5_8.5,1in5,2030,1.085897,,
BEN,2020,built_s,COASTAL_DEFENDED,SSP5_8.5,1in5,2050,1.541228875,0.4553318750000001,0.0176628602824897
BEN,2020,built_s,COASTAL_DEFENDED,SSP5_8.5,1in5,2080,3.52024375,1.979014875,0.0279141708735255
BEN,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,SSP1_2.6,1in10,2030,2.2750285,,
BEN,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,SSP1_2.6,1in10,2050,2.3591095,0.0840810000000003,0.0018162292262093
BEN,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,SSP1_2.6,1in10,2080,2.43446725,0.0753577499999997,0.0010486736999471
BEN,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,SSP1_2.6,1in100,2030,20.805978,,
BEN,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,SSP1_2.6,1in100,2050,20.989562,0.1835839999999997,0.0004393423463107
BEN,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,SSP1_2.6,1in100,2080,21.13674,0.1471780000000002,0.0002329435266927
BEN,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,SSP1_2.6,1in5,2030,0.713860875,,
BEN,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,SSP1_2.6,1in5,2050,0.7346926875,0.0208318125000001,0.0014392451767739
BEN,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,SSP1_2.6,1in5,2080,0.7578305,0.0231378124999999,0.0010341158736959
BEN,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,SSP2_4.5,1in10,2030,2.28028525,,
BEN,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,SSP2_4.5,1in10,2050,2.518201,0.2379157499999999,0.0049745428022855
BEN,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,SSP2_4.5,1in10,2080,2.7940645,0.2758635000000002,0.0034710966200952
BEN,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,SSP2_4.5,1in100,2030,20.816386,,
BEN,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,SSP2_4.5,1in100,2050,21.281416,0.4650299999999987,0.0011052973206837
BEN,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,SSP2_4.5,1in100,2080,21.703144,0.4217280000000016,0.000654311676262
BEN,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,SSP2_4.5,1in5,2030,0.7165140625,,
BEN,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,SSP2_4.5,1in5,2050,0.782076,0.0655619374999999,0.0043872985767641
BEN,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,SSP2_4.5,1in5,2080,0.8797426875,0.0976666874999999,0.0039302881253358
BEN,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,SSP3_7.0,1in10,2030,2.281677,,
BEN,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,SSP3_7.0,1in10,2050,2.56101975,0.2793427499999996,0.0057914469640731
BEN,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,SSP3_7.0,1in10,2080,3.09867325,0.5376535000000002,0.0063725024436738
BEN,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,SSP3_7.0,1in100,2030,20.81891,,
BEN,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,SSP3_7.0,1in100,2050,21.350156,0.5312459999999994,0.0012606608721774
BEN,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,SSP3_7.0,1in100,2080,22.208616,0.8584600000000009,0.0013149062405546
BEN,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,SSP3_7.0,1in5,2030,0.7175296875,,
BEN,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,SSP3_7.0,1in5,2050,0.800455375,0.0829256874999999,0.0054833016381992
BEN,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,SSP3_7.0,1in5,2080,1.0075350625,0.2070796874999999,0.007698862008497
BEN,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,SSP5_8.5,1in10,2030,2.294862,,
BEN,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,SSP5_8.5,1in10,2050,2.71358925,0.4187272499999999,0.0084151849777791
BEN,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,SSP5_8.5,1in10,2080,3.409571,0.6959817500000001,0.0076395090043199
BEN,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,SSP5_8.5,1in100,2030,20.858566,,
BEN,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,SSP5_8.5,1in100,2050,21.60866,0.7500940000000007,0.001768033985505
BEN,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,SSP5_8.5,1in100,2080,22.74354,1.134879999999999,0.0017076894024521
BEN,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,SSP5_8.5,1in5,2030,0.720264,,
BEN,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,SSP5_8.5,1in5,2050,0.8517005625,0.1314365625,0.0084160777798094
BEN,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,SSP5_8.5,1in5,2080,1.133039875,0.2813393124999999,0.0095595514504132
BWA,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,SSP1_2.6,1in10,2030,1.1567637,,
BWA,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,SSP1_2.6,1in10,2050,1.1675346,0.010770917,0.0004635132489125
BWA,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,SSP1_2.6,1in10,2080,1.166517,-0.0010175705,-2.9063548544705498e-05
BWA,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,SSP1_2.6,1in100,2030,11.593481,,
BWA,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,SSP1_2.6,1in100,2050,11.574541,-0.018939972,-8.174864128673853e-05
BWA,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,SSP1_2.6,1in100,2080,11.451942,-0.12259865,-0.0003548902988638
BWA,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,SSP1_2.6,1in5,2030,0.4559063,,
BWA,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,SSP1_2.6,1in5,2050,0.4690686,0.013162285,0.0014240970072196
