city_name,covers_by_area_threshold,area_ratio_2020_over_2015,area_2015,area_2020
3433.0,True,1.7571997595613102,8871800.43139763,15589525.584927844
7913.0,True,1.0162614395389096,4544359.001788064,4618256.82093874
5777.0,True,1.8969020556823164,3326050.336299517,6309191.720229414
2707.0,True,1.0989486081981419,2292518.7969739577,2519360.3412026092
1826.0,True,1.6991008967962031,8883575.542033557,15094091.170226032
8577.0,True,1.059881834597516,14043944.055646768,14884921.190683777
6760.0,True,1.2541096135700867,2585618.75049832,3242649.3320270185
6815.0,True,1.0104159986586145,10874700.559694134,10987971.426136743
5634.0,True,1.0,6069935.421889185,6069935.421889185
3026.0,True,1.2785235003387174,7834394.397155173,10016457.347684868
5636.0,True,1.0,3251822.8185036667,3251822.8185036667
4919.0,True,2.3126680408401588,232845875.93544903,538495215.7173456
2452.0,True,1.390570800002325,53410288.04974518,74270786.98168877
1371.0,True,1.3143261882149635,2152080.4163861945,2828535.6504009385
1418.0,True,1.0664744979219805,4977348.565844857,5308215.312742083
7804.0,True,1.6208265353931144,9206994.418990025,14922940.865515342
5188.0,True,1.312927575206137,1533934.6128915944,2013945.0518285253
4273.0,True,1.1888814480505039,4097514.838855446,4871459.375026889
5094.0,True,1.199704314694592,1488246.7365207276,1785456.0311340627
4958.0,True,1.1001780411111128,3385779.822440564,3724960.612686191
5569.0,True,1.0,24508814.181332268,24508814.181332268
8635.0,True,1.4182124986820832,6115653.94081112,8673296.856472667
712.0,True,1.077488494152984,4838432.150479099,5213354.971881108
7977.0,True,1.2479208811592781,795100.0369989147,992221.9387814603
7716.0,True,1.1279606539406744,17826616.435648203,20107721.93230332
7610.0,True,1.1806564508388724,3390036.9106317214,4002468.9471192234
1433.0,True,2.899529811251067,5315769.12371408,15413231.043936936
844.0,True,2.322105653172717,3385837.488017671,7862272.371649945
4859.0,True,1.8022699549546886,14613833.67266416,26338073.354947746
8628.0,True,1.1121387975485442,1716993.7225731064,1909535.334020853
4110.0,True,1.4446836710673774,6430909.141645789,9290629.427053595
1552.0,True,1.1904242042590607,5697924.490480871,6782947.227508904
3085.0,True,2.0588575476206428,5362988.350715506,11041629.043672202
