ISO_A3,worldpop_year,worldpop_population_total,worldpop_built_surface_km2,worldpop_built_volume_m3,ftm_return_period,ftm_flood_type,worldpop_population_ftm_total,worldpop_population_ftm_share,worldpop_built_surface_ftm_km2,worldpop_built_surface_ftm_share,worldpop_built_volume_ftm_m3,worldpop_built_volume_ftm_share
ERI,2020,3262064,115.744736,425277500.0,100,FLUVIAL_PLUVIAL_DEFENDED,156342,0.0479273245405363,3.893801689147949,0.0336412854113936,14665900.0,0.034485482683796
ERI,2025,3569425,131.9235,468041540.0,10,FLUVIAL_PLUVIAL_DEFENDED,19761,0.0055361858002339,0.5618652701377869,0.004259023618776,1515286.25,0.0032375037970988
ERI,2025,3569425,131.9235,468041540.0,100,FLUVIAL_PLUVIAL_DEFENDED,170534,0.047776322516932,4.809652328491211,0.036457891159783,17125080.0,0.0365888039475197
ETH,2015,102478968,1537.4949,6483916300.0,10,FLUVIAL_PLUVIAL_DEFENDED,852182,0.0083156770275048,10.91708278656006,0.0071005653273662,48942396.0,0.0075482769712155
ETH,2015,102478968,1537.4949,6483916300.0,100,FLUVIAL_PLUVIAL_DEFENDED,3689150,0.0359990939799471,49.23139190673828,0.0320205242760749,233018640.0,0.0359379470137909
ETH,2020,117298560,2577.6006,9255177000.0,10,FLUVIAL_PLUVIAL_DEFENDED,968676,0.0082582087964251,16.9801025390625,0.0065875615608174,65360256.0,0.0070620210153304
ETH,2020,117298560,2577.6006,9255177000.0,100,FLUVIAL_PLUVIAL_DEFENDED,4202030,0.0358233724267373,73.95329284667969,0.0286907495482982,300358016.0,0.0324529729674708
ETH,2025,133764528,3130.226,10685313000.0,10,FLUVIAL_PLUVIAL_DEFENDED,1117408,0.0083535449697097,24.71209526062012,0.0078946678849027,86111968.0,0.0080589092529705
ETH,2025,133764528,3130.226,10685313000.0,100,FLUVIAL_PLUVIAL_DEFENDED,4825410,0.0360739134069983,99.45104217529295,0.0317712011264599,369047680.0,0.0345378445321247
GAB,2015,2010530,132.33807,907904900.0,10,FLUVIAL_PLUVIAL_DEFENDED,63555,0.0316110677284099,3.033756256103516,0.0229242890619847,13573324.0,0.0149501605947942
GAB,2015,2010530,132.33807,907904900.0,100,FLUVIAL_PLUVIAL_DEFENDED,192345,0.0956688037482653,10.128323554992676,0.0765337084747122,58395584.0,0.0643190539639958
GAB,2020,2295414,145.92957,964671400.0,10,FLUVIAL_PLUVIAL_DEFENDED,71367,0.0310911234313287,3.642355680465698,0.0249596829110045,16254635.0,0.0168499186309472
GAB,2020,2295414,145.92957,964671400.0,100,FLUVIAL_PLUVIAL_DEFENDED,217366,0.0946957716560062,11.469681739807127,0.0785973815932009,63804536.0,0.0661412107922044
GAB,2025,2566042,150.37686,978300000.0,10,FLUVIAL_PLUVIAL_DEFENDED,79116,0.0308319193528399,3.889890193939209,0.025867611235322,16966860.0,0.0173432070377362
GAB,2025,2566042,150.37686,978300000.0,100,FLUVIAL_PLUVIAL_DEFENDED,241739,0.0942069537443268,12.10752296447754,0.0805145342035157,65839380.0,0.067299783140557
GHA,2015,28368838,1770.3193,10320196000.0,10,FLUVIAL_PLUVIAL_DEFENDED,136783,0.004821593327157,6.394635200500488,0.0036121365624208,27076326.0,0.0026236252772164
GHA,2015,28368838,1770.3193,10320196000.0,100,FLUVIAL_PLUVIAL_DEFENDED,1326977,0.0467758672385523,76.32696533203125,0.0431148006930688,439214560.0,0.0425587438169233
GHA,2020,31569282,1939.6714,10850821000.0,10,FLUVIAL_PLUVIAL_DEFENDED,148734,0.0047113520035077,7.287793159484863,0.0037572308430106,29894126.0,0.0027550104890126
GHA,2020,31569282,1939.6714,10850821000.0,100,FLUVIAL_PLUVIAL_DEFENDED,1459761,0.0462399176515956,83.15960693359375,0.0428730389606204,461680000.0,0.0425479320776048
GHA,2025,34746428,2081.6821,11273613000.0,10,FLUVIAL_PLUVIAL_DEFENDED,161335,0.0046432110949649,9.106059074401855,0.0043743753899575,35467136.0,0.0031460309147066
GHA,2025,34746428,2081.6821,11273613000.0,100,FLUVIAL_PLUVIAL_DEFENDED,1595841,0.0459282030371582,95.08635711669922,0.045677654525794,499644768.0,0.0443198426424793
GIN,2015,11616322,601.49664,2697414000.0,10,FLUVIAL_PLUVIAL_DEFENDED,244515,0.021049261547674,8.223780632019043,0.0136721970551565,31066638.0,0.0115171936120764
GIN,2015,11616322,601.49664,2697414000.0,100,FLUVIAL_PLUVIAL_DEFENDED,712846,0.0613658953324468,26.511276245117188,0.0440755182106482,107007280.0,0.0396703229252447
GIN,2020,13202221,652.9088,2849519000.0,10,FLUVIAL_PLUVIAL_DEFENDED,273453,0.0207126513031405,9.228965759277344,0.0141351526718342,33868912.0,0.0118858343333991
GIN,2020,13202221,652.9088,2849519000.0,100,FLUVIAL_PLUVIAL_DEFENDED,799153,0.0605317090207776,29.14331817626953,0.0446361231074355,114696464.0,0.0402511651313357
GIN,2025,14928018,699.8271,2976405800.0,10,FLUVIAL_PLUVIAL_DEFENDED,307455,0.0205958352944108,11.18572235107422,0.015983551583569,39442072.0,0.0132515776343612
GIN,2025,14928018,699.8271,2976405800.0,100,FLUVIAL_PLUVIAL_DEFENDED,897782,0.0601407367006122,34.118675231933594,0.0487530074872882,129006912.0,0.0433431871869512
GMB,2015,2194719,109.5303,551022900.0,10,FLUVIAL_PLUVIAL_DEFENDED,11263,0.0051318642614384,0.5468407869338989,0.0049925984433374,2291818.0,0.0041592063598255
GMB,2015,2194719,109.5303,551022900.0,100,FLUVIAL_PLUVIAL_DEFENDED,79775,0.0363486168388755,4.0584001541137695,0.0370527633929364,20999734.0,0.0381104551964619
GMB,2020,2485601,113.370926,563323700.0,10,FLUVIAL_PLUVIAL_DEFENDED,12645,0.0050873008177901,0.5710579752922058,0.0050370760469857,2358805.75,0.0041873006581338
GMB,2020,2485601,113.370926,563323700.0,100,FLUVIAL_PLUVIAL_DEFENDED,89872,0.036157050146021,4.213418483734131,0.0371648943515484,21479354.0,0.0381296819971249
GMB,2025,2791070,118.89975,578593100.0,10,FLUVIAL_PLUVIAL_DEFENDED,14191,0.0050844299856327,0.6478661894798279,0.0054488440119521,2566157.25,0.0044351674833695
GMB,2025,2791070,118.89975,578593100.0,100,FLUVIAL_PLUVIAL_DEFENDED,100600,0.036043524526436,4.53186559677124,0.0381150137496223,22373442.0,0.0386686990633389
GNB,2015,1763730,93.20297,379350900.0,10,FLUVIAL_PLUVIAL_DEFENDED,16814,0.0095332051958066,0.4541162848472595,0.0048723369340553,1219938.375,0.0032158572351079
GNB,2015,1763730,93.20297,379350900.0,100,FLUVIAL_PLUVIAL_DEFENDED,50994,0.0289125886615298,1.4477101564407349,0.0155328753898479,4549861.0,0.011993805355607
GNB,2020,1990595,97.851135,393287230.0,10,FLUVIAL_PLUVIAL_DEFENDED,18204,0.0091450043831115,0.490985095500946,0.0050176739822887,1316536.875,0.0033475200003441
GNB,2020,1990595,97.851135,393287230.0,100,FLUVIAL_PLUVIAL_DEFENDED,55646,0.0279544558285336,1.5513726472854614,0.0158544164383982,4827211.0,0.0122740089360439
GNB,2025,2225318,103.55091,408797500.0,10,FLUVIAL_PLUVIAL_DEFENDED,19682,0.0088445786175279,0.5622892379760742,0.0054300752433667,1529547.625,0.0037415777005331
GNB,2025,2225318,103.55091,408797500.0,100,FLUVIAL_PLUVIAL_DEFENDED,60632,0.0272464429802841,1.7785744667053225,0.0171758456820254,5706346.5,0.0139588584670027
GNQ,2015,1426798,52.1599,326668670.0,10,FLUVIAL_PLUVIAL_DEFENDED,34974,0.0245122294816785,1.037336826324463,0.0198876304036924,6639985.0,0.020326359914917
GNQ,2015,1426798,52.1599,326668670.0,100,FLUVIAL_PLUVIAL_DEFENDED,124594,0.0873242042671772,4.002296447753906,0.0767312896824163,25718784.0,0.078730488119779
GNQ,2020,1696973,58.10217,352068700.0,10,FLUVIAL_PLUVIAL_DEFENDED,41178,0.024265559911678,1.1555533409118652,0.0198882995259381,7159616.5,0.0203358504140146
GNQ,2020,1696973,58.10217,352068700.0,100,FLUVIAL_PLUVIAL_DEFENDED,147346,0.0868287238512339,4.470465183258057,0.0769414508505111,27833682.0,0.0790575296348976
GNQ,2025,1915416,60.925735,360972640.0,10,FLUVIAL_PLUVIAL_DEFENDED,46203,0.0241216529464095,1.2281275987625122,0.020157780439007,7384131.0,0.0204562068748479
GNQ,2025,1915416,60.925735,360972640.0,100,FLUVIAL_PLUVIAL_DEFENDED,165876,0.086600508714556,4.740114212036133,0.0778015099068855,28670766.0,0.0794264241190135
KEN,2015,46576600,2088.1836,7483949600.0,10,FLUVIAL_PLUVIAL_DEFENDED,386877,0.0083062524958884,19.113361358642575,0.0091531038821727,67816392.0,0.0090615778986499
KEN,2015,46576600,2088.1836,7483949600.0,100,FLUVIAL_PLUVIAL_DEFENDED,1839297,0.0394897223069094,75.61051940917969,0.0362087508184071,305497376.0,0.0408203413484039
KEN,2020,51707368,3066.1794,10012902000.0,10,FLUVIAL_PLUVIAL_DEFENDED,430023,0.0083164743562271,28.86096572875977,0.0094126799366768,92926672.0,0.00928069287882
KEN,2020,51707368,3066.1794,10012902000.0,100,FLUVIAL_PLUVIAL_DEFENDED,2046397,0.0395765067755914,109.4913101196289,0.0357093614846193,393931904.0,0.0393424292241178
