Country Code,Country Name,Year,10 million or more,5 to 10 million,1 to 5 million,500 000 to 1 million,300 000 to 500 000,Fewer than 300 000
CPV,Cabo Verde,2025,0.0,0.0,0.0,0.0,0.0,414.288
CPV,Cabo Verde,2030,0.0,0.0,0.0,0.0,0.0,449.958
CPV,Cabo Verde,2035,0.0,0.0,0.0,0.0,0.0,483.813
ERI,Eritrea,2020,0.0,0.0,0.0,962.985,0.0,1283.0529999999999
ERI,Eritrea,2025,0.0,0.0,1152.176,0.0,0.0,1546.576
ERI,Eritrea,2030,0.0,0.0,1372.146,0.0,331.854,1506.132
ERI,Eritrea,2035,0.0,0.0,1618.914,0.0,391.694,1771.323
ETH,Ethiopia,2020,0.0,0.0,4793.699,523.915,1148.229,17997.579999999998
ETH,Ethiopia,2025,0.0,5956.679,0.0,1144.327,1595.2720000000002,21791.045
ETH,Ethiopia,2030,0.0,7352.269,0.0,2542.0099999999998,1482.957,26118.484
ETH,Ethiopia,2035,0.0,8938.683,0.0,4106.619999999999,2100.78,30341.994
GAB,Gabon,2020,0.0,0.0,0.0,834.204,0.0,1103.935
GAB,Gabon,2025,0.0,0.0,0.0,899.225,0.0,1271.9770000000003
GAB,Gabon,2030,0.0,0.0,0.0,988.148,0.0,1415.069
GAB,Gabon,2035,0.0,0.0,1083.906,0.0,0.0,1552.4740000000002
GHA,Ghana,2020,0.0,0.0,5862.067,1587.4299999999998,667.701,9508.368999999999
GHA,Ghana,2025,0.0,0.0,7984.394,784.42,889.191,10881.200999999997
GHA,Ghana,2030,0.0,0.0,9217.619999999999,1480.359,781.439,12161.383
GHA,Ghana,2035,0.0,5337.302,6210.530000000001,1197.459,675.0409999999999,13491.457
GIN,Guinea,2020,0.0,0.0,1938.272,0.0,0.0,3132.384
GIN,Guinea,2025,0.0,0.0,2251.591,0.0,308.208,3522.902
GIN,Guinea,2030,0.0,0.0,2687.12,0.0,1407.002,3206.1520000000005
GIN,Guinea,2035,0.0,0.0,3219.084,0.0,2045.7379999999998,3479.503999999999
GMB,Gambia,2020,0.0,0.0,0.0,0.0,450.689,984.6189999999999
GMB,Gambia,2025,0.0,0.0,0.0,510.303,0.0,1220.792
GMB,Gambia,2030,0.0,0.0,0.0,602.162,0.0,1453.126
GMB,Gambia,2035,0.0,0.0,0.0,705.396,0.0,1697.401
GNB,Guinea-Bissau,2020,0.0,0.0,0.0,599.714,0.0,284.5179999999999
GNB,Guinea-Bissau,2025,0.0,0.0,0.0,709.092,0.0,329.38199999999995
GNB,Guinea-Bissau,2030,0.0,0.0,0.0,826.65,0.0,381.98300000000006
GNB,Guinea-Bissau,2035,0.0,0.0,0.0,955.533,0.0,441.0210000000001
GNQ,Equatorial Guinea,2020,0.0,0.0,0.0,0.0,734.7719999999999,293.2180000000001
GNQ,Equatorial Guinea,2025,0.0,0.0,0.0,512.75,380.211,339.25199999999995
GNQ,Equatorial Guinea,2030,0.0,0.0,0.0,605.591,446.19,392.9380000000001
GNQ,Equatorial Guinea,2035,0.0,0.0,0.0,1210.212,0.0,449.86400000000003
KEN,Kenya,2020,0.0,0.0,6030.856,0.0,1521.595,7422.607999999999
KEN,Kenya,2025,0.0,5766.989,1553.465,0.0,2939.169,8112.344000000001
KEN,Kenya,2030,0.0,7030.891,1888.688,2765.8509999999997,1212.966,9484.588
KEN,Kenya,2035,0.0,8499.403,2282.925,4372.924,438.588,11432.151999999998
LBR,Liberia,2020,0.0,0.0,1517.235,0.0,0.0,1141.3260000000002
LBR,Liberia,2025,0.0,0.0,1794.648,0.0,0.0,1355.604
