,ISO3,year,RP,SSP,Future_RP,EP,Future_EP,mult,xmax_2050_RP5-10-100
54,AGO,2085.0,5.0,SSP3-7.0,2.88,0.2,0.3472222222222222,1.736111111111111,39.64321110009911
55,AGO,2085.0,10.0,SSP3-7.0,5.08,0.1,0.19685039370078738,1.9685039370078738,19.821605550049554
56,AGO,2085.0,100.0,SSP3-7.0,34.34,0.01,0.029120559114735,2.9120559114735,1.9821605550049552
57,AGO,2085.0,5.0,SSP5-8.5,2.5,0.2,0.4,2.0,39.64321110009911
58,AGO,2085.0,10.0,SSP5-8.5,4.3,0.1,0.23255813953488372,2.325581395348837,19.821605550049554
59,AGO,2085.0,100.0,SSP5-8.5,26.18,0.01,0.03819709702062643,3.819709702062643,1.9821605550049552
60,BDI,2025.0,5.0,SSP1-1.9,4.06,0.2,0.24630541871921185,1.2315270935960592,39.64321110009911
61,BDI,2025.0,10.0,SSP1-1.9,7.81,0.1,0.12804097311139565,1.2804097311139564,19.821605550049554
62,BDI,2025.0,100.0,SSP1-1.9,68.92,0.01,0.014509576320371444,1.4509576320371445,1.9821605550049552
63,BDI,2025.0,5.0,SSP1-2.6,3.98,0.2,0.25125628140703515,1.2562814070351758,39.64321110009911
64,BDI,2025.0,10.0,SSP1-2.6,7.62,0.1,0.13123359580052493,1.3123359580052492,19.821605550049554
65,BDI,2025.0,100.0,SSP1-2.6,66.47,0.01,0.015044380923724988,1.5044380923724987,1.9821605550049552
66,BDI,2025.0,5.0,SSP2-4.5,3.99,0.2,0.2506265664160401,1.2531328320802004,39.64321110009911
67,BDI,2025.0,10.0,SSP2-4.5,7.7,0.1,0.12987012987012986,1.2987012987012985,19.821605550049554
68,BDI,2025.0,100.0,SSP2-4.5,68.03,0.01,0.014699397324709687,1.4699397324709687,1.9821605550049552
69,BDI,2025.0,5.0,SSP3-7.0,4.07,0.2,0.24570024570024568,1.2285012285012282,39.64321110009911
70,BDI,2025.0,10.0,SSP3-7.0,7.91,0.1,0.1264222503160556,1.264222503160556,19.821605550049554
71,BDI,2025.0,100.0,SSP3-7.0,70.64,0.01,0.014156285390713477,1.4156285390713477,1.9821605550049552
72,BDI,2025.0,5.0,SSP5-8.5,3.88,0.2,0.2577319587628866,1.288659793814433,39.64321110009911
73,BDI,2025.0,10.0,SSP5-8.5,7.49,0.1,0.13351134846461948,1.3351134846461947,19.821605550049554
74,BDI,2025.0,100.0,SSP5-8.5,67.04,0.01,0.014916467780429593,1.4916467780429594,1.9821605550049552
75,BDI,2050.0,5.0,SSP1-1.9,3.64,0.2,0.2747252747252747,1.3736263736263734,39.64321110009911
76,BDI,2050.0,10.0,SSP1-1.9,6.83,0.1,0.14641288433382138,1.4641288433382138,19.821605550049554
77,BDI,2050.0,100.0,SSP1-1.9,56.85,0.01,0.017590149516270887,1.7590149516270885,1.9821605550049552
78,BDI,2050.0,5.0,SSP1-2.6,3.37,0.2,0.29673590504451036,1.4836795252225516,39.64321110009911
79,BDI,2050.0,10.0,SSP1-2.6,6.29,0.1,0.1589825119236884,1.589825119236884,19.821605550049554
80,BDI,2050.0,100.0,SSP1-2.6,49.8,0.01,0.020080321285140562,2.0080321285140563,1.9821605550049552
81,BDI,2050.0,5.0,SSP2-4.5,3.16,0.2,0.3164556962025316,1.582278481012658,39.64321110009911
82,BDI,2050.0,10.0,SSP2-4.5,5.81,0.1,0.17211703958691912,1.721170395869191,19.821605550049554
83,BDI,2050.0,100.0,SSP2-4.5,44.7,0.01,0.022371364653243846,2.2371364653243844,1.9821605550049552
84,BDI,2050.0,5.0,SSP3-7.0,3.14,0.2,0.3184713375796178,1.592356687898089,39.64321110009911
85,BDI,2050.0,10.0,SSP3-7.0,5.88,0.1,0.17006802721088435,1.7006802721088434,19.821605550049554
86,BDI,2050.0,100.0,SSP3-7.0,43.99,0.01,0.022732439190725165,2.2732439190725167,1.9821605550049552
87,BDI,2050.0,5.0,SSP5-8.5,2.51,0.2,0.39840637450199207,1.9920318725099602,39.64321110009911
88,BDI,2050.0,10.0,SSP5-8.5,4.56,0.1,0.2192982456140351,2.192982456140351,19.821605550049554
89,BDI,2050.0,100.0,SSP5-8.5,31.85,0.01,0.03139717425431711,3.139717425431711,1.9821605550049552
90,BDI,2075.0,5.0,SSP1-1.9,3.72,0.2,0.26881720430107525,1.3440860215053763,39.64321110009911
91,BDI,2075.0,10.0,SSP1-1.9,7.08,0.1,0.14124293785310735,1.4124293785310733,19.821605550049554
92,BDI,2075.0,100.0,SSP1-1.9,60.27,0.01,0.016592002654720425,1.6592002654720426,1.9821605550049552
93,BDI,2075.0,5.0,SSP1-2.6,3.28,0.2,0.3048780487804878,1.5243902439024388,39.64321110009911
94,BDI,2075.0,10.0,SSP1-2.6,6.14,0.1,0.16286644951140067,1.6286644951140066,19.821605550049554
95,BDI,2075.0,100.0,SSP1-2.6,48.38,0.01,0.02066969822240595,2.066969822240595,1.9821605550049552
96,BDI,2075.0,5.0,SSP2-4.5,2.63,0.2,0.3802281368821293,1.9011406844106464,39.64321110009911
97,BDI,2075.0,10.0,SSP2-4.5,4.72,0.1,0.21186440677966104,2.1186440677966103,19.821605550049554
98,BDI,2075.0,100.0,SSP2-4.5,33.27,0.01,0.030057108506161705,3.0057108506161705,1.9821605550049552
99,BDI,2075.0,5.0,SSP3-7.0,2.2,0.2,0.45454545454545453,2.2727272727272725,39.64321110009911
100,BDI,2075.0,10.0,SSP3-7.0,3.77,0.1,0.26525198938992045,2.6525198938992043,19.821605550049554
101,BDI,2075.0,100.0,SSP3-7.0,23.04,0.01,0.043402777777777776,4.340277777777778,1.9821605550049552
102,BDI,2075.0,5.0,SSP5-8.5,1.8,0.2,0.5555555555555556,2.7777777777777777,39.64321110009911
103,BDI,2075.0,10.0,SSP5-8.5,3.07,0.1,0.32573289902280134,3.257328990228013,19.821605550049554
104,BDI,2075.0,100.0,SSP5-8.5,16.4,0.01,0.06097560975609757,6.097560975609756,1.9821605550049552
105,BDI,2085.0,5.0,SSP1-1.9,4.0,0.2,0.25,1.25,39.64321110009911
106,BDI,2085.0,10.0,SSP1-1.9,7.73,0.1,0.129366106080207,1.2936610608020698,19.821605550049554
107,BDI,2085.0,100.0,SSP1-1.9,69.4,0.01,0.01440922190201729,1.440922190201729,1.9821605550049552
108,BDI,2085.0,5.0,SSP1-2.6,3.42,0.2,0.29239766081871343,1.461988304093567,39.64321110009911
109,BDI,2085.0,10.0,SSP1-2.6,6.47,0.1,0.1545595054095827,1.5455950540958268,19.821605550049554
110,BDI,2085.0,100.0,SSP1-2.6,52.14,0.01,0.019179133103183737,1.9179133103183736,1.9821605550049552
111,BDI,2085.0,5.0,SSP2-4.5,2.63,0.2,0.3802281368821293,1.9011406844106464,39.64321110009911
112,BDI,2085.0,10.0,SSP2-4.5,4.65,0.1,0.2150537634408602,2.1505376344086016,19.821605550049554
113,BDI,2085.0,100.0,SSP2-4.5,32.5,0.01,0.03076923076923077,3.076923076923077,1.9821605550049552
114,BDI,2085.0,5.0,SSP3-7.0,1.82,0.2,0.5494505494505494,2.747252747252747,39.64321110009911
115,BDI,2085.0,10.0,SSP3-7.0,3.08,0.1,0.3246753246753247,3.2467532467532467,19.821605550049554
116,BDI,2085.0,100.0,SSP3-7.0,17.13,0.01,0.05837711617046118,5.837711617046118,1.9821605550049552
